Index,Assembly_Seat,Seat_Type,Constituency_Name,YSRCP,TDP,JNP,Strong_Party
1,Ramachandrapuram,GEN,Amalapuram,75365,70197,,
2,Mummidivaram,GEN,Amalapuram,78522,72975,,
3,Amalapuram,SC,Amalapuram,72003,46349,45200,
4,Razole,SC,Amalapuram,49239,45592,50053,
5,Gannavaram,SC,Amalapuram,103043,103881,,
6,Kothapeta,GEN,Amalapuram,82645,78607,,
7,Mandapeta,GEN,Amalapuram,67429,78029,,
8,Chodavaram,GEN,Anakapalli,94215,66578,,
9,Madugula,GEN,Anakapalli,78830,62438,,
10,Anakapalle,GEN,Anakapalli,73207,65038,,
11,Pendurthi,GEN,Anakapalli,99759,70899,,
12,Elamanchili,GEN,Anakapalli,71934,67788,,
13,Rayadurg,GEN,Anantapur,109043,94994,,YSRCP
14,Uravakonda,GEN,Anantapur,88077,90209,,
15,Guntakal,GEN,Anantapur,106922,58390,,YSRCP
16,Tadipatri,GEN,Anantapur,92911,85400,,
17,Singanamala,SC,Anantapur,118044,71802,,YSRCP
18,Anantapur Urban,GEN,Anantapur,88704,60006,,YSRCP
19,Kalyandurg,GEN,Anantapur,88051,68155,,
20,Palakonda,ST,Araku,72054,54074,,YSRCP
21,Kurupam,ST,Araku,74527,47925,,YSRCP
22,Parvathipuram,SC,Araku,75304,51105,,YSRCP
23,Salur,ST,Araku,78430,58401,,YSRCP
24,Araku Valley,ST,Araku,53101,,,YSRCP
25,Paderu,ST,Araku,71153,,,YSRCP
26,Rampachodavaram,ST,Araku,98318,59112,,YSRCP
27,Vemuru,SC,Bapatla,81671,71672,,
28,Repalle,GEN,Bapatla,78420,89975,,
29,Bapatla,GEN,Bapatla,79836,64637,,
30,Parchur,GEN,Bapatla,95429,97076,,
31,Addanki,GEN,Bapatla,92554,105545,,TDP
32,Chirala,GEN,Bapatla,66482,83901,,TDP
33,Santhanuthalapadu,SC,Bapatla,89160,80082,,
34,Chandragiri,GEN,Chittoor,127790,86035,,YSRCP
35,Nagari,GEN,Chittoor,80333,77625,,
36,Gangadhara Nellore,SC,Chittoor,103038,57444,,YSRCP
37,Chittoor,GEN,Chittoor,91206,51238,,YSRCP
38,Puthalapattu,SC,Chittoor,103265,74102,,YSRCP
39,Palamaner,GEN,Chittoor,119241,87625,,YSRCP
40,Kuppam,GEN,Chittoor,69424,100146,,TDP
41,Unguturu,GEN,Eluru,94621,61468,,YSRCP
42,Denduluru,GEN,Eluru,96142,78683,,YSRCP
43,Eluru,GEN,Eluru,72247,68175,,
44,Polavaram,ST,Eluru,110523,68453,,YSRCP
45,Chintalapudi,SC,Eluru,115755,79580,,YSRCP
46,Nuzvid,GEN,Eluru,101950,85740,,YSRCP
47,Kaikalur,GEN,Eluru,82128,72771,,
48,Tadikonda,SC,Guntur,86848,82415,,
49,Mangalagiri,GEN,Guntur,108464,103127,,
50,Ponnuru,GEN,Guntur,87570,86458,,
51,Tenali,GEN,Guntur,94495,76846,,
52,Prathipadu,SC,Guntur,92508,85110,,
53,Guntur West,GEN,Guntur,67575,71864,,
54,Guntur East,GEN,Guntur,77047,54956,,
55,Raptadu,GEN,Hindupur,111201,85626,,YSRCP
56,Madakasira,SC,Hindupur,88527,75391,,
57,Hindupur,GEN,Hindupur,74676,91704,,TDP
58,Penukonda,GEN,Hindupur,96607,81549,,YSRCP
59,Puttaparthi,GEN,Hindupur,97234,65979,,YSRCP
60,Dharmavaram,GEN,Hindupur,10609,91243,,YSRCP
61,Kadiri,GEN,Hindupur,102432,75189,,YSRCP
62,Badvel,SC,Kadapa,95482,50748,,YSRCP
63,Kadapa,GEN,Kadapa,104822,50028,,YSRCP
64,Pulivendla,GEN,Kadapa,132356,,,YSRCP
65,Kamalapuram,GEN,Kadapa,88482,61149,,YSRCP
66,Jammalamadugu,GEN,Kadapa,125005,73364,,YSRCP
67,Proddatur,GEN,Kadapa,107941,64793,,YSRCP
