Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,NPEP,JD(U),PPA,JDS,Independent,Strong_Party
34,Tuting_Yingkiong,ST,Arunachal_East,5800,,,,,4191,,
35,Pangin,ST,Arunachal_East,7647,3595,,,,,,
36,Nari_Koyu,ST,Arunachal_East,2489,2273,,,,,,
37,Pasighat_West,ST,Arunachal_East,4639,5210,,,,,,
38,Pasighat_East,ST,Arunachal_East,8851,7609,,,,,,
39,Mebo,ST,Arunachal_East,4866,5238,,,,,,
40,Mariyang-Geku,ST,Arunachal_East,4106,,,5366,,,,
41,Anini,ST,Arunachal_East,2416,1282,,,,,,
42,Dambuk,ST,Arunachal_East,5584,,4711,,,,,
43,Roing,ST,Arunachal_East,4550,,4950,,,,,
44,Tezu,ST,Arunachal_East,7383,,,,,,7538,
45,Hayuliang,ST,Arunachal_East,6149,4817,,,,,,
46,Chowkham,ST,Arunachal_East,8908,,,,,,,
47,Namsai,ST,Arunachal_East,13392,,,,,,,
48,Lekang,ST,Arunachal_East,8980,3487,,,,,,
49,Bordumsa-Diyun,GEN,Arunachal_East,,,,,,,6330,
50,Miao,ST,Arunachal_East,9760,5904,,,,,,
51,Nampong,ST,Arunachal_East,3761,,,,,,,
52,Changlang_South,ST,Arunachal_East,2848,2265,,,,,,
53,Changlang_North,ST,Arunachal_East,5417,,,,,,,
54,Namsang,ST,Arunachal_East,3202,,,,,,,
55,Khonsa_East,ST,Arunachal_East,5051,,,,,,,
56,Khonsa_West,ST,Arunachal_East,4311,,5366,,,,,
57,Borduria_Bagapani,ST,Arunachal_East,2402,2499,,,,,,
58,Kanubari,ST,Arunachal_East,6707,,,,,,,
59,Longding_Pumao,ST,Arunachal_East,4463,,3786,,,,,
60,Pongchau_Wakka,ST,Arunachal_East,,7531,,,,,,
1,Lumla,ST,Arunachal_West,4567,,3279,,,,,
2,Tawang,ST,Arunachal_West,5547,,,,,,,
3,Mukto,ST,Arunachal_West,4304,,,,,,,
4,Dirang,ST,Arunachal_West,,,,,,,,
5,Kalaktang,ST,Arunachal_West,3254,,,5026,,,,
6,Thrizino-Buragaon,ST,Arunachal_West,8772,,,,,,,
7,Bomdila,ST,Arunachal_West,2761,,,2994,,,,
8,Bameng,ST,Arunachal_West,5043,,4650,,,,,
9,Chayangtajo,ST,Arunachal_West,4801,,,5435,,,,
10,Seppa_East,ST,Arunachal_West,4155,,4184,,,,,
11,Seppa_West,ST,Arunachal_West,4059,,,2505,,,,
12,Pakke_Kessang,ST,Arunachal_West,4506,2284,,,,,,
13,Itanagar,ST,Arunachal_West,11860,,,12162,,,,
14,Doimukh,ST,Arunachal_West,8403,,6018,,,,,
15,Sagalee,ST,Arunachal_West,,4886,3565,,,,,
16,Yachuli,ST,Arunachal_West,,,,,,,,
17,Ziro_Hapoli,ST,Arunachal_West,9853,8079,,,,,,
18,Palin,ST,Arunachal_West,5727,4997,,,,,,
19,Nyapin,ST,Arunachal_West,5517,5363,,,,,,
20,Tali,ST,Arunachal_West,5413,,,5518,,,,
21,Koloriang,ST,Arunachal_West,5748,,5292,,,,,
22,Nacho,ST,Arunachal_West,5053,4355,,,,,,
23,Taliha,ST,Arunachal_West,5024,,3821,,,,,
24,Daporijo,ST,Arunachal_West,6019,,,5897,,,,
25,Raga,ST,Arunachal_West,,,3385,,3219,3189,,
26,Dumporijo,ST,Arunachal_West,4635,,3657,,,,,
27,Liromoba,ST,Arunachal_West,5616,,4870,,,,,
28,Likabali,ST,Arunachal_West,3536,,,,3714,,,
29,Basar,ST,Arunachal_West,6386,,6626,,,,,
30,Along_West,ST,Arunachal_West,6000,,,5034,,,,
31,Along_East,ST,Arunachal_West,,,,,,,,
32,Rumgong,ST,Arunachal_West,4864,,,4949,,,,
33,Mechuka,ST,Arunachal_West,,,,,,,,
