Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,JDU,RJD,CPI,VIP,CPM,CPI,AIMIM,LJNSP,BLSP,JVP,BSP,HAM,Independent,Strong_Party
1,Narpatganj,GEN,Araria,98397,,,69787,,,,,,,,,,,,
2,Raniganj ,SC,Araria,,,81901,79597,,,,,,,,,,,,
3,Forbesganj,GEN,Araria,102212,82510,,,,,,,,,,,,,,
4,Araria,GEN,Araria,,103054,55118,,,,,,,,,,,,,
5,Jokihat,GEN,Araria,48933,,,52213,,,,,59596,,,,,,,
6,Sikti,GEN,Araria,84128,,,70518,,,,,,,,,,,,
7,Sandesh,GEN,Arrah,,,,79599,,,,,,,,,,,,RJD
8,Barhara,GEN,Arrah,76182,,,71209,,,,,,,,,,,,
9,Arrah,GEN,Arrah,71781,,,,68779,,,,,,,,,,,
10,Agiaon ,SC,Arrah,,,,,86327,,,,,,,,,,,CPI(ML)(L)
11,Tarari,GEN,Arrah,,,,,73945,,,,,,,,,,62930,
12,Jagdishpur,GEN,Arrah,,,,66632,,,,,,44525,,,,,,
13,Shahpur,GEN,Arrah,,,,64393,,,,,,,,,,,41510,
14,Kutumba ,SC,Aurangabad,,50822,,,,,,,,,,,,34169,,
15,Aurangabad,GEN,Aurangabad,67775,70018,,,,,,,,,,,,,,
16,Rafiganj,GEN,Aurangabad,,,,63325,,,,,,,,,,,53896,
17,Gurua,GEN,Aurangabad,64612,,,70761,,,,,,,,,,,,
18,Imamganj ,SC,Aurangabad,,,,62728,,,,,,,,,,78762,,
19,Tikari,GEN,Aurangabad,,67729,,,,,,,,,,,,70359,,
20,Sultanganj,GEN,Banka,,61258,72823,,,,,,,,,,,,,
21,Amarpur,GEN,Banka,,51194,54308,,,,,,,40308,,,,,,
22,Dhoraiya ,SC,Banka,,,75959,78646,,,,,,,,,,,,
23,Banka,GEN,Banka,69762,,,52934,,,,,,,,,,,,
24,Katoria ,ST,Banka,74785,,,68364,,,,,,,,,,,,
25,Belhar,GEN,Banka,,,73589,71116,,,,,,,,,,,,
26,Cheria-Bariarpur,GEN,Begusarai,,,,68635,,,,,,,,,,,,
27,Bachhwara,GEN,Begusarai,54738,,,,,,,54254,,,,,,,,
28,Teghra,GEN,Begusarai,,,37250,,,,,85229,,,,,,,,
29,Matihani,GEN,Begusarai,,,61031,,,,60599,,,61364,,,,,,
30,Sahebpur_Kamal,GEN,Begusarai,,,50663,64888,,,,,,,,,,,,
31,Begusarai,GEN,Begusarai,74217,69663,,,,,,,,,,,,,,
32,Bakhri ,SC,Begusarai,71400,,,,,,,72177,,,,,,,,
33,Bihpur,GEN,Bhagalpur,72938,,,66809,,,,,,,,,,,,
34,Gopalpur,GEN,Bhagalpur,,,75533,51072,,,,,,,,,,,,
35,Pirpainti ,SC,Bhagalpur,96229,,,69210,,,,,,,,,,,,
36,Kahalgaon,GEN,Bhagalpur,115538,72645,,,,,,,,,,,,,,BJP
37,Bhagalpur,GEN,Bhagalpur,64389,65502,,,,,,,,,,,,,,
38,Nathnagar,GEN,Bhagalpur,,,71076,78832,,,,,,,,,,,,
39,Brahampur,GEN,Buxar,,,,90176,,,,,,,,,,,,
40,Buxar,GEN,Buxar,55525,59417,,,,,,,,,30489,,,,,
41,Dumraon,GEN,Buxar,,,46905,,,,71320,,,,,,,,,
42,Rajpur ,SC,Buxar,,67871,46667,,,,,,,,,,43836,,,
43,Ramgarh,GEN,Buxar,56084,,,58083,,,,,,,,,57894,,,
44,Dinara,GEN,Buxar,,,,59541,,,,,,51313,,,,,,
45,Gaura_Bauram,GEN,Darbhanga,,,,52258,,59538,,,,,,,,,,
46,Benipur,GEN,Darbhanga,,54826,61416,,,,,,,,,,,,,
47,Alinagar,GEN,Darbhanga,,,,57981,,61082,,,,,,,,,,
48,Darbhanga_Rural,GEN,Darbhanga,,,62788,64929,,,,,,,,,,,,
49,Darbhanga,GEN,Darbhanga,84144,,,73505,,,,,,,,,,,,
50,Bahadurpur,GEN,Darbhanga,,,68538,65909,,,,,,,,,,,,
51,Sherghati,GEN,Gaya,,,45114,61804,,,,,,,,,,,,
52,Barachatti ,SC,Gaya,,,,66173,,,,,,,,,,72491,,
53,Bodh_Gaya ,SC,Gaya,76218,,,80926,,,,,,,,,,,,
54,Gaya_Town,GEN,Gaya,66932,55034,,,,,,,,,,,,,,
55,Belaganj,GEN,Gaya,,,55745,79708,,,,,,,,,,,,
56,Wazirganj,GEN,Gaya,70713,48283,,,,,,,,,,,,,,
57,Baikunthpur,GEN,Gopalganj,56694,,,67807,,,,,,,,,,,43354,
58,Barauli,GEN,Gopalganj,81956,,,67801,,,,,,,,,,,,
59,Gopalganj,GEN,Gopalganj,70053,,,68259,,,,,,,,,,,,
60,Kuchaikote,GEN,Gopalganj,,53729,74359,,,,,,,,33533,,,,,
61,Bhore ,SC,Gopalganj,,,74067,,73605,,,,,,,,,,,
62,Hathua,GEN,Gopalganj,,,56204,86731,,,,,,,,,,,,
63,Hajipur,GEN,Hajipur,85552,,,82562,,,,,,,,,,,,
64,Lalganj,GEN,Hajipur,70750,44451,,,,,,,,,,,,,,
65,Mahua,GEN,Hajipur,,,48893,62580,,,,,,,,,,,,
66,Raja_Pakar ,SC,Hajipur,,54299,52503,,,,,,,,,,,,,
67,Raghopur,GEN,Hajipur,59230,,,97404,,,,,,,,,,,,
