Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,GGP,JCC,BSP,CPI,Independent,Strong_Party
1,Kondagaon,ST,Bastar,80465,61893,,,,,,BJP
2,Narayanpur,ST,Bastar,68776,49580,,,,,,
3,Bastar,ST,Bastar,61967,68401,,,,,,
4,Jagdalpur,GEN,Bastar,90336,60502,,,,,,BJP
5,Chitrakot,ST,Bastar,63954,55584,,,,,,
6,Dantewada,ST,Bastar,57739,40936,,,,,,
7,Bijapur,ST,Bastar,33033,35739,,,,,,
8,Konta,ST,Bastar,30795,32776,,,,29040,,
9,Kota,GEN,Bilaspur,65522,73479,,,,,,
10,Lormi,GEN,Bilaspur,75070,,,,,,,
11,Mungeli ,SC,Bilaspur,85429,73648,,,,,,
12,Takhatpur,GEN,Bilaspur,90978,76086,,,,,,BJP
13,Bilha,GEN,Bilaspur,100346,91389,,,,,,
14,Bilaspur,GEN,Bilaspur,83022,54063,,,,,,BJP
15,Beltara,GEN,Bilaspur,79528,62565,,,,,,
16,Masturi ,SC,Bilaspur,75356,95497,,,,,,
17,Patan,GEN,Durg,75715,95438,,,,,,INC
18,Durg Rural,GEN,Durg,87175,70533,,,,,,BJP
19,Durg City,GEN,Durg,97906,49209,,,,,,BJP
20,Bhilai Nagar,GEN,Durg,53141,54405,,,,,,
21,Vaishali Nagar,GEN,Durg,98272,58198,,,,,,BJP
22,Ahiwara ,SC,Durg,96717,71454,,,,,,BJP
23,Saja,GEN,Durg,101789,96593,,,,,,
24,Bemetara,GEN,Durg,97731,88597,,,,,,
25,Nawagarh ,SC,Durg,101631,86454,,,,,,BJP
26,Akaltara,GEN,Janjgir–Champa,57285,80043,,,,,,
27,Janjgir-Champa,GEN,Janjgir–Champa,65929,72900,,,,,,
28,Sakti,GEN,Janjgir–Champa,69124,81519,,,,,,INC
29,Chandrapur,GEN,Janjgir–Champa,69549,85525,,,,,,
30,Jaijaipur,GEN,Janjgir–Champa,50825,76747,,,,,,
31,Pamgarh ,SC,Janjgir–Champa,47789,63963,,,,,,
32,Bilaigarh ,SC,Janjgir–Champa,63708,81647,,,61920,,,
33,Kasdol,GEN,Janjgir–Champa,102597,136362,,,,,,INC
34,Sihawa ,ST,Kanker,71725,84891,,,,,,
35,Sanjari-Balod,GEN,Kanker,67603,84649,,,,,,
36,Dondi Lohara ,ST,Kanker,67183,102762,,,,,,INC
37,Gunderdehi,GEN,Kanker,88328,103191,,,,,,INC
38,Antagarh ,ST,Kanker,59547,35837,,,,,,
39,Bhanupratappur ,ST,Kanker,52999,83931,,,,,,INC
