Index,Assembly_Seat,Seat_Type,Constituency_Name,AAP,BJP,INC,JDU,LJP,Independent,Strong_Party
1,Narela,GEN,North_West_Delhi,86262,68833,,,,,AAP
2,Burari,GEN,North_East_Delhi,139598,,,51440,,,AAP
3,Timarpur,GEN,North_East_Delhi,71432,47288,,,,,AAP
4,Adarsh_Nagar,GEN,Chandni_Chowk,46892,45303,,,,,
5,Badli,GEN,North_West_Delhi,69357,40234,27449,,,,
6,Rithala,GEN,North_West_Delhi,87940,74067,,,,,AAP
7,Bawana,SC,North_West_Delhi,95715,84189,,,,,
8,Mundka,GEN,North_West_Delhi,90293,71135,,,,,AAP
9,Kirari,GEN,North_West_Delhi,86312,80658,,,,,AAP
10,Sultanpur_Majra,SC,North_West_Delhi,74573,26521,,,,,AAP
11,Nangloi_Jat,GEN,North_West_Delhi,74444,62820,,,,,
12,Mangol_Puri,SC,North_West_Delhi,74154,44038,,,,,AAP
13,Rohini,GEN,North_West_Delhi,49526,62174,,,,,BJP
14,Shalimar_Bagh,GEN,Chandni_Chowk,57707,54267,,,,,
15,Shakur_Basti,GEN,Chandni_Chowk,51165,43573,,,,,AAP
16,Tri_Nagar,GEN,Chandni_Chowk,58504,47794,,,,,AAP
17,Wazirpur,GEN,Chandni_Chowk,57331,45641,,,,,AAP
18,Model_Town,GEN,Chandni_Chowk,52665,41532,,,,,AAP
19,Sadar_Bazar,GEN,Chandni_Chowk,68790,43146,,,,,AAP
20,Chandni_Chowk,GEN,Chandni_Chowk,50891,21307,,,,,AAP
21,Matia_Mahal,GEN,Chandni_Chowk,67282,17041,,,,,AAP
22,Ballimaran,GEN,Chandni_Chowk,65644,29472,,,,,AAP
23,Karol_Bagh,SC,New_Delhi,67494,35734,,,,,AAP
24,Patel_Nagar,SC,New_Delhi,73463,42528,,,,,AAP
25,Moti_Nagar,GEN,New_Delhi,60622,46550,,,,,AAP
26,Madipur,SC,West_Delhi,64440,41721,,,,,AAP
27,Rajouri_Garden,GEN,West_Delhi,62212,39240,,,,,AAP
28,Hari_Nagar,GEN,West_Delhi,58087,37956,,,,,AAP
29,Tilak_Nagar,GEN,West_Delhi,62436,34407,,,,,AAP
30,Janakpuri,GEN,West_Delhi,67968,53051,,,,,AAP
31,Vikaspuri,GEN,West_Delhi,133898,91840,,,,,AAP
32,Uttam_Nagar,GEN,West_Delhi,99622,79863,,,,,AAP
33,Dwarka,GEN,West_Delhi,71003,56616,,,,,AAP
34,Matiala,GEN,West_Delhi,139010,110935,,,,,AAP
35,Najafgarh,GEN,West_Delhi,81507,75276,,,,,AAP
36,Bijwasan,GEN,South_Delhi,57271,56518,,,,,
37,Palam,GEN,South_Delhi,92775,60010,,,,,AAP
38,Delhi_Cantt,GEN,New_Delhi,28971,18381,,,,,
39,Rajinder_Nagar,GEN,New_Delhi,59135,39077,,,,,AAP
40,New_Delhi,GEN,New_Delhi,46758,25061,,,,,AAP
41,Jangpura,GEN,East_Delhi,45133,29070,13565,,,,AAP
42,Kasturba_Nagar,GEN,New_Delhi,37100,33935,19648,,,,
43,Malviya_Nagar,GEN,New_Delhi,52043,33899,,,,,AAP
44,RK_Puram,GEN,New_Delhi,47208,36839,,,,,AAP
45,Mehrauli,GEN,South_Delhi,62417,44256,,,,,AAP
46,Chhatarpur,GEN,South_Delhi,69411,65691,,,,,
47,Deoli,SC,South_Delhi,92575,52402,,,,,AAP
48,Ambedkar_Nagar,SC,South_Delhi,62871,34544,,,,,AAP
49,Sangam_Vihar,GEN,South_Delhi,75345,,,32823,,,AAP
50,Greater_Kailash,GEN,New_Delhi,60372,43563,,,,,AAP
51,Kalkaji,GEN,South_Delhi,55897,44504,,,,,AAP
52,Tughlakabad,GEN,South_Delhi,58905,45147,,,,,AAP
53,Badarpur,GEN,South_Delhi,90082,86363,,,,,
54,Okhla,GEN,East_Delhi,130367,58540,,,,,AAP
55,Trilokpuri,SC,East_Delhi,69947,57461,,,,,AAP
56,Kondli,SC,East_Delhi,68348,50441,,,,,AAP
57,Patparganj,GEN,East_Delhi,70163,66956,,,,,
58,Laxmi_Nagar,GEN,East_Delhi,65735,64855,,,,,
59,Vishwas_Nagar,GEN,East_Delhi,49373,65830,,,,,BJP
60,Krishna_Nagar,GEN,East_Delhi,72111,68116,,,,,
61,Gandhi_Nagar,GEN,East_Delhi,42745,48824,21913,,,,
62,Shahdara,GEN,East_Delhi,62103,56809,,,,,
63,Seema_Puri,SC,North_East_Delhi,88392,,,,32284,,AAP
64,Rohtas_Nagar,GEN,North_East_Delhi,60632,73873,,,,,BJP
65,Seelampur,GEN,North_East_Delhi,72694,35619,20207,,,,AAP
66,Ghonda,GEN,North_East_Delhi,53427,81797,,,,,AAP
67,Babarpur,GEN,North_East_Delhi,84776,51714,,,,,AAP
68,Gokalpur,SC,North_East_Delhi,88452,68964,,,,,AAP
69,Mustafabad,GEN,North_East_Delhi,98850,78146,,,,,AAP
70,Karawal_Nagar,GEN,North_East_Delhi,88498,96721,,,,,AAP
