Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,AIMIM,AAP,SP,NCP,Independent,Strong_Party
1,Dahegam,GEN,Ahmedabad_East,75133,58960,,,,,,
2,Gandhinagar_South,GEN,Ahmedabad_East,80623,54512,,,,,,BJP
3,Vatva,GEN,Ahmedabad_East,151710,51664,,,,,,BJP
4,Nikol,GEN,Ahmedabad_East,93714,38516,,,,,,BJP
5,Naroda,GEN,Ahmedabad_East,112767,,,,,,,BJP
6,Thakkarbapa_Nagar,GEN,Ahmedabad_East,89409,,,,,,,BJP
7,Bapunagar,GEN,Ahmedabad_East,59465,47395,,,,,,
8,Ellisbridge,GEN,Ahmedabad_West,119323,,,,,,,BJP
9,Amraiwadi,GEN,Ahmedabad_West,93994,50772,,,,,,BJP
10,Dariapur,GEN,Ahmedabad_West,61490,56005,,,,,,
11,Jamalpur-Khadiya,GEN,Ahmedabad_West,44829,58487,,,,,,
12,Maninagar,GEN,Ahmedabad_West,113083,,,,,,,BJP
13,Danilimda,SC,Ahmedabad_West,55643,69130,,,,,,
14,Asarwa,SC,Ahmedabad_West,80155,,,,,,,BJP
15,Dhari,GEN,Amreli,46466,,,37749,,,,
16,Amreli,GEN,Amreli,89034,42377,,,,,,BJP
17,Lathi,GEN,Amreli,64866,35592,,,,,,
18,Savarkundla,GEN,Amreli,63757,60265,,,,,,
19,Rajula,GEN,Amreli,78482,68019,,,,,,
20,Mahuva,GEN,Amreli,86463,55991,,,,,,BJP
21,Gariadhar,GEN,Amreli,56125,,,60944,,,,
22,Khambhat,GEN,Anand,65358,69069,,,,,,
23,Borsad,GEN,Anand,91772,80607,,,,,,BJP
24,Anklav,GEN,Anand,78783,81512,,,,,,
25,Umreth,GEN,Anand,95639,,,,,68922,,BJP
26,Anand,GEN,Anand,111859,70236,,,,,,BJP
27,Petlad,GEN,Anand,89166,71212,,,,,,BJP
28,Sojitra,GEN,Anand,87300,57781,,,,,,BJP
29,Vav,GEN,Banaskantha,86912,102513,,,,,,
30,Tharad,GEN,Banaskantha,117891,91385,,,,,,BJP
31,Dhanera,GEN,Banaskantha,60357,38260,,,,,96053,
32,Danta ,ST,Banaskantha,78807,85134,,,,,,
33,Palanpur,GEN,Banaskantha,95588,68608,,,,,,BJP
34,Deesa,GEN,Banaskantha,98006,55539,,,,,45058,
35,Deodar,GEN,Banaskantha,109123,70709,,,,,,BJP
36,Mangrol,ST,Bardoli,93669,,,42246,,,,BJP
37,Mandvi,ST,Bardoli,74502,56393,,49108,,,,
38,Kamrej,GEN,Bardoli,185585,,,110888,,,,BJP
39,Bardoli,SC,Bardoli,118527,,,,,,,BJP
40,Mahuva,ST,Bardoli,81383,49875,,,,,,
41,Vyara,ST,Bardoli,696330,45904,,47513,,,,
42,Nizar,ST,Bardoli,97461,74301,,35781,,,,
43,Karjan,GEN,Bharuch,83748,57442,,,,,,BJP
44,Dediapada,ST,Bharuch,63151,,,103433,,,,AAP
45,Jambusar,GEN,Bharuch,91533,64153,,,,,,BJP
46,Vagra,GEN,Bharuch,83036,69584,,,,,,BJP
47,Jhagadiya,ST,Bharuch,89933,,,,,,66433,
48,Bharuch,GEN,Bharuch,108655,,,,,,,BJP
49,Ankleshwar,GEN,Bharuch,96405,55964,,,,,,BJP
50,Talaja,GEN,Bhavnagar,90255,46949,,,,,,BJP
51,Palitana,GEN,Bhavnagar,81568,53991,,,,,,
52,Bhavnagar_Rural,GEN,Bhavnagar,116034,42550,,,,,,BJP
53,Bhavnagar_East,GEN,Bhavnagar,98707,36153,,,,,,BJP
54,Bhavnagar_West,GEN,Bhavnagar,85188,43266,,,,,,BJP
55,Gadhada,SC,Bhavnagar,64386,,,37692,,,,
56,Botad,GEN,Bhavnagar,77802,,,80581,,,,
