Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,AJSUP,JMM,JVM,RJD,CPI(ML)(L),MCO,BSP,NCP,Independent,Strong_Party
1,Simaria,SC,Chatra,61438,27665,50442,,31346,,,,,,,
2,Chatra,SC,Chatra,77655,,,,,101710,,,,,,
3,Manika ,ST,Chatra,57760,74000,,,,,,,,,,
4,Latehar,SC,Chatra,60179,,,76507,,,,,,,,
5,Panki,GEN,Chatra,93184,55994,,,,,,,,,,
6,Bokaro,GEN,Dhanbad,112333,99020,,,,,,,,,,
7,Chandankiyari,SC,Dhanbad,67739,,58528,36400,,,,,,,,
8,Sindri,GEN,Dhanbad,80967,,,,,,,72714,,,,
9,Nirsa,GEN,Dhanbad,89082,,,47168,,,,63624,,,,
10,Dhanbad,GEN,Dhanbad,120773,90144,,,,,,,,,,BJP
11,Jharia,GEN,Dhanbad,67732,79786,,,,,,,,,,INC
12,Shikaripara ,ST,Dumka,49929,,,79400,,,,,,,,JMM
13,Nala,GEN,Dumka,57836,,,61356,,,,,,,,
14,Jamtara,GEN,Dumka,74088,112829,,,,,,,,,,INC
15,Dumka,ST,Dumka,67819,,,81007,,,,,,,,
16,Jama,ST,Dumka,58499,,,60925,,,,,,,,
17,Sarath,GEN,Dumka,49408,52507,,,,,,,,,,
18,Giridih,GEN,Giridih,64987,,,80871,,,,,,,,
19,Dumri,GEN,Giridih,36013,,36840,71128,,,,,,,,
20,Gomia,GEN,Giridih,,,71859,60922,,,,,,,,
21,Bermo,GEN,Giridih,63773,88945,,,,,,,,,,
22,Tundi,GEN,Giridih,46893,,,72552,,,,,,,,
23,Baghmara,GEN,Giridih,78291,77467,,,,,,,,,,
24,Madhupur,GEN,Godda,65046,,45620,88115,,,,,,,,
25,Jarmundi,GEN,Godda,90895,,,,62175,,,,,,,
26,Deoghar,SC,Godda,95491,,,,,92867,,,,,,
27,Poreyahat,GEN,Godda,63761,,,34745,77358,,,,,,,
28,Godda,GEN,Godda,87578,,,,83066,,,,,,,
29,Mahagama,GEN,Godda,76725,89224,,,,,,,,,,
30,Barhi,GEN,Hazaribagh,72987,84358,,,,,,,,,,
31,Barkagaon,GEN,Hazaribagh,31761,98862,67348,,,,,,,,,
32,Ramgarh,GEN,Hazaribagh,31874,99944,71226,,,,,,,,,
33,Mandu,GEN,Hazaribagh,49855,,47793,44768,,,,,,,,
34,Hazaribagh,GEN,Hazaribagh,106208,54396,,,31885,,,,,,,BJP
35,Baharagora,GEN,Jamshedpur,45452,,,106017,,,,,,,,JMM
36,Ghatsila,ST,Jamshedpur,56807,,31910,63531,,,,,,,,
37,Potka,SC,Jamshedpur,67643,,,110753,,,,,,,,JMM
38,Jugsalai,SC,Jamshedpur,66647,,46779,88581,,,,,,,,
39,Jamshedpur_East,GEN,Jamshedpur,58112,,,,,,,,,,73945,
40,Jamshedpur_West,GEN,Jamshedpur,74195,96778,,,,,,,,,,INC
41,Kharsawan,ST,Khunti,50546,,,73341,,,,,,,,
42,Tamar,ST,Khunti,,,,55491,,,,,,,,
43,Torpa,ST,Khunti,43482,,,33852,,,,,,,,
44,Khunti,ST,Khunti,59198,,,32871,,,,,,,,
45,Simdega,ST,Khunti,60366,60651,,,,,,,,,,
46,Kolebira,ST,Khunti,36236,48574,,,,,,,,,,
47,Kodarma,GEN,Kodarma,63675,,45014,,,61878,,,,,,
48,Barkatha,GEN,Kodarma,47760,,,,33526,,,,,,72572,
49,Dhanwar,GEN,Kodarma,34802,,,,52352,,32245,,,,22624,
50,Bagodar,GEN,Kodarma,83656,,,,,,98201,,,,,
51,Jamua,SC,Kodarma,58468,40293,,,25865,,,,,,,
52,Gandey,GEN,Kodarma,56168,,,,65023,,,,,,,
53,Mandar,ST,Lohardaga,69364,,,,92491,,,,,,,
54,Sisai,ST,Lohardaga,55302,,,93720,,,,,,,,
55,Gumla,ST,Lohardaga,59749,,,67416,,,,,,,,
56,Bishunpur,ST,Lohardaga,63482,,,80864,,,,,,,,
