Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,NCP,JDS,KRPP,SKP,SDPI,Independent,Strong_Party
1,Mudhol,SC,Bagalkot,59963,77298,,,,,,,
2,Terdal,GEN,Bagalkot,77265,66520,,,,,,,
3,Jamkhandi,GEN,Bagalkot,81937,77221,,,,,,,
4,Bilgi,GEN,Bagalkot,84523,95652,,,,,,,INC
5,Badami,GEN,Bagalkot,56120,65845,,41572,,,,,
6,Bagalkot,GEN,Bagalkot,73458,79336,,,,,,,
7,Hungund,GEN,Bagalkot,48427,78434,,,33790,,,,
8,Nargund,GEN,Bagalkot,72835,71044,,,,,,,
9,Sarvagnanagar,GEN,Bangalore central,63015,118783,,,,,,,INC
10,C.V. RamannNagar,SC,Bangalore central,69228,52833,,,,,,,BJP
11,Shivajinagar,GEN,Bangalore central,41719,64913,,,,,,,INC
12,Shantinagar,GEN,Bangalore central,53905,61030,,,,,,,INC
13,Gandhinagar,GEN,Bangalore central,54013,54118,,,,,,,
14,Rajajinagar,GEN,Bangalore central,58624,50564,,,,,,,BJP
15,Chamrajapet,GEN,Bangalore central,,77631,,,,,,,INC
16,Mahadevapura,SC,Bangalore central,181731,137230,,,,,,,BJP
17,K.R. Pura,GEN,Bangalore North,139925,115624,,,,,,,BJP
18,Byatarayanapura,GEN,Bangalore North,121978,160182,,,,,,,INC
19,Yeshwanthapura,GEN,Bangalore North,169149,,,154031,,,,,
20,Dasarahalli,GEN,Bangalore North,91289,,,82095,,,,,
21,Mahalakshmi Layout,GEN,Bangalore North,96424,45259,,,,,,,BJP
22,Malleshwaram,GEN,Bangalore North,80606,39304,,,,,,,BJP
23,Hebbal,GEN,Bangalore North,61084,91838,,,,,,,INC
24,Pulakeshinagar,SC,Bangalore North,,87316,,,,,,,INC
25,Kunigal,GEN,Bangalore Rural,48151,74724,,46974,,,,,
26,Rajarajeshwarinagar,GEN,Bangalore Rural,127980,116138,,,,,,,
27,Bangalore South,GEN,Bangalore Rural,196220,146521,,,,,,,BJP
