Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,IUML,CPM,INL,CPI,KEC,KEC(M),C(S),LJD,RCP,RMPOI,NCP,INL,NSC,LDF,JD(S),CMPKSC,TTP,KC(J),KC(M),KJ(S),KEC(B),JKC,Independent,Strong_Party
1,Aroor,GEN,Alappuzha,,6860,,75617,,,,,,,,,,,,,,,,,,,,,,
2,Cherthala,GEN,Alappuzha,,77554,,,,83702,,,,,,,,,,,,,,,,,,,,
3,Alappuzha,GEN,Alappuzha,,61768,,73412,,,,,,,,,,,,,,,,,,,,,,
4,Ambalappuzha,GEN,Alappuzha,,50420,,61365,,,,,,,,,,,,,,,,,,,,,,
5,Haripad,GEN,Alappuzha,,72768,,,,59102,,,,,,,,,,,,,,,,,,,,
6,Kayamkulam,GEN,Alappuzha,,71050,,77348,,,,,,,,,,,,,,,,,,,,,,
7,Karunagapally,GEN,Alappuzha,,94225,,,,65017,,,,,,,,,,,,,,,,,,,,INC
8,Tarur,SC,Alathur,,43213,,67744,,,,,,,,,,,,,,,,,,,,,,CPM
9,Chittur,GEN,Alathur,,50794,,,,,,,,,,,,,,,84672,,,,,,,,,JD(S)
10,Nenmara,GEN,Alathur,,,,80145,,,,,,,,,,,,,,51441,,,,,,,,CPM
11,Alathur,GEN,Alathur,,40535,,74653,,,,,,,,,,,,,,,,,,,,,,CPM
12,Chelakkara,SC,Alathur,,44015,,83415,,,,,,,,,,,,,,,,,,,,,,CPM
13,Kunnamkulam,GEN,Alathur,,48901,,75532,,,,,,,,,,,,,,,,,,,,,,
14,Wadakkanchery,GEN,Alathur,,65858,,81026,,,,,,,,,,,,,,,,,,,,,,
15,Varkala,GEN,Attingal,,50995,,68816,,,,,,,,,,,,,,,,,,,,,,CPM
16,Attingal,SC,Attingal,38262,,,69898,,,,,,,36938,,,,,,,,,,,,,,,
17,Chirayinkeezhu,SC,Attingal,30986,48617,,,,62634,,,,,,,,,,,,,,,,,,,,
18,Nedumangad,GEN,Attingal,,49433,,,,72742,,,,,,,,,,,,,,,,,,,,
19,Vamanapuram,GEN,Attingal,,62895,,73137,,,,,,,,,,,,,,,,,,,,,,
20,Aruvikkara,GEN,Attingal,,61730,,66776,,,,,,,,,,,,,,,,,,,,,,
21,Kattakkada,GEN,Attingal,34542,43062,,66293,,,,,,,,,,,,,,,,,,,,,,
22,Kaipamangalam,GEN,Chalakudy,,50463,,,,73161,,,,,,,,,,,,,,,,,,,,CPI
23,Chalakudy,GEN,Chalakudy,61888,,,,,,,60831,,,,,,,,,,,,,,,,,,
24,Kodungallur,GEN,Chalakudy,,47564,,,,71457,,,,,,,,,,,,,,,,,,,,
25,Perumbavoor,GEN,Chalakudy,,53484,,,,,,50585,,,,,,,,,,,,,,,,,,
26,Angamaly,GEN,Chalakudy,,71562,,,,,,,,,,,,,,,55633,,,,,,,,,INC
27,Aluva,GEN,Chalakudy,,73703,,,,,,,,,,,,,,,,,,,,,,,54817,
