Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,BSP,SP,BADP,GGP,Independent,Strong_Party
1,Baihar,ST,Balaghat,89591,90142,,,,,,
2,Lanji,GEN,Balaghat,101005,98232,,,,,,
3,Paraswada,GEN,Balaghat,75044,100992,,,,,,INC
4,Balaghat,GEN,Balaghat,79575,108770,,,,,,INC
5,Waraseoni,GEN,Balaghat,78594,79597,,,,,,
6,Katangi,GEN,Balaghat,85950,64019,,,,,,
7,Barghat,ST,Balaghat,112074,94993,,,,,,BJP
8,Seoni,GEN,Balaghat,116795,98377,,,,,,BJP
9,Multai,GEN,Betul,96066,81224,,,,,,BJP
10,Amla,SC,Betul,86726,74608,,,,,,BJP
11,Betul,GEN,Betul,109183,93650,,,,,,BJP
12,Ghodadongri,ST,Betul,103710,99497,,,,,,
13,Bhainsdehi,ST,Betul,97938,89708,,,,,,
14,Timarni,ST,Betul,75604,76554,,,,,,
15,Harda,GEN,Betul,93683,94553,,,,,,
16,Harsud,ST,Betul,116580,56584,,,,,,BJP
17,Ater,GEN,Bhind,49314,69542,,,,,,
18,Bhind,GEN,Bhind,66420,52274,34938,,,,,
19,Lahar,GEN,Bhind,75347,62950,31348,,,,,
20,Mehgaon,GEN,Bhind,87153,65143,,,,,,
21,Gohad,SC,Bhind,69334,69941,,,,,,
22,Sewda,GEN,Bhind,43834,41276,,,,,,
23,Bhander,SC,Bhind,52605,82043,,,,,,INC
24,Datia,GEN,Bhind,81235,88977,,,,,,INC
25,Berasia,SC,Bhopal,107844,82447,,,,,,BJP
26,Bhopal Uttar,GEN,Bhopal,69138,96125,,,,,,INC
27,Narela,GEN,Bhopal,1245520,99983,,,,,,BJP
28,Bhopal Dakshina-Pashchim,GEN,Bhopal,76689,60856,,,,,,BJP
29,Bhopal Madhya,GEN,Bhopal,66480,82371,,,,,,INC
30,Govindpura,GEN,Bhopal,173159,66491,,,,,,BJP
31,Huzur,GEN,Bhopal,177755,79845,,,,,,BJP
32,Sehore,GEN,Bhopal,105997,68146,,,,,,BJP
33,Junnardeo,ST,Chhindwara,80167,83377,,,,,,
34,Amarwara,ST,Chhindwara,84679,109765,,,,,,
35,Chourai,GEN,Chhindwara,73024,81613,,,,,,
36,Sausar,GEN,Chhindwara,80967,92509,,,,,,
37,Chhindwara,GEN,Chhindwara,95708,132302,,,,,,INC
38,Parasiya,SC,Chhindwara,86059,88227,,,,,,
39,Pandhurna,ST,Chhindwara,80487,90944,,,,,,
40,Deori,GEN,Damoh,94932,67709,,,,,,BJP
41,Rehli,GEN,Damoh,130916,58116,,,,,,BJP
42,Banda,GEN,Damoh,90911,56160,,,,,,
43,Malhara,GEN,Damoh,67521,89053,,,,,,INC
44,Pathariya,GEN,Damoh,82603,64444,,,,,,
45,Damoh,GEN,Damoh,112278,60927,,,,,,INC
46,Jabera,GEN,Damoh,72249,56366,,,,52657,,
47,Hatta,SC,Damoh,106546,49525,,,,,,BJP
48,Ashta,SC,Dewas,118750,110847,,,,,,BJP
49,Agar,SC,Dewas,102176,89174,,,,,,BJP
50,Shajapur,GEN,Dewas,98960,98932,,,,,,
51,Shujalpur,GEN,Dewas,96054,82394,,,,,,BJP
52,Kalapipal,GEN,Dewas,98216,86451,,,,,,BJP
53,Sonkatch,SC,Dewas,108869,83432,,,,,,BJP
54,Dewas,GEN,Dewas,117422,90466,,,,,,BJP
55,Hatpipliya,GEN,Dewas,89842,85700,,,,,,
56,Sardarpur,ST,Dhar,81986,86114,,,,,,
57,Gandhwani,ST,Dhar,76863,98982,,,,,,INC
58,Kukshi,ST,Dhar,64576,114464,,,,,,INC
59,Manawar,ST,Dhar,89521,90229,,,,,,
60,Dharampuri,ST,Dhar,84207,83851,,,,,,
61,Dhar,GEN,Dhar,90371,80677,,,,,,
62,Badnawar,GEN,Dhar,90757,93733,,,,,,
63,Dr.ambedkar Nagar -Mhow,GEN,Dhar,102989,68597,,,,,,
64,Shivpuri,GEN,Guna,112324,69294,,,,,,BJP
65,Pichhore,GEN,Guna,121228,99346,,,,,,BJP
66,Kolaras,GEN,Guna,108685,57715,,,,,,BJP
67,Bamori,GEN,Guna,78912,93708,,,,,,INC
68,Guna,SC,Guna,114801,48347,,,,,,BJP
69,Ashok Nagar,SC,Guna,77807,86180,,,,,,
70,Chanderi,GEN,Guna,85064,63296,,,,,,BJP
71,Mungaoli,GEN,Guna,77062,71640,,,,,,
72,Gwalior Rural,GEN,Gwalior,76559,79841,,,,,,
73,Gwalior,GEN,Gwalior,104775,85635,,,,,,BJP
74,Gwalior East,GEN,Gwalior,84948,100301,,,,,,INC
