Index,Assembly_Seat,Seat_Type,Constituency_Name,Bhartiya_Janta_Party,Indian_National_Congress,SHS,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party,BJP,INC,,,UBT,Shivsena,NCP,Sharad_Pawar
1,Shevgaon,GEN,Ahmadnagar,112509,,,,,,,,,,,,,,,,,,,,78756.3,29464.5,,,23626.89,10125.81,20625.15,48125.35
2,Rahuri,GEN,Ahmadnagar,85908,,,,,,,,,,,,,,,,,,,NCP,60135.6,32770.2,,,18040.68,7731.72,22939.14,53524.66
3,Parner,GEN,Ahmadnagar,,,80125,,,,,,,,,,,,,,,,,NCP,24037.5,41988.9,,,39261.25,16826.25,29392.23,68581.87
4,Ahmednagar_City,GEN,Ahmadnagar,,,70078,,,,,,,,,,,,,,,,,,21023.4,24365.1,,,34338.22,14716.38,17055.57,39796.33
5,Shrigonda,GEN,Ahmadnagar,103258,,,,,,,,,,,,,,,,,,,,72280.6,29552.4,,,21684.18,9293.22,20686.68,48268.92
6,Karjat_Jamkhed,GEN,Ahmadnagar,92477,,,,,,,,,,,,,,,,,,,NCP,64733.9,40747.2,,,19420.17,8322.93,28523.04,66553.76
7,Akot,GEN,Akola,48586,,,,,41326,,,,,,,,,,,,,,,34010.2,0,,,10203.06,4372.74,0,0
8,Balapur,GEN,Akola,,,69343,44507,,50555,,,,,,,,,,,,,,,20802.9,0,,,33978.07,14562.03,0,0
9,Akola_West,GEN,Akola,73262,70669,,,,,,,,,,,,,,,,,,,51283.4,49468.3,,,15385.02,6593.58,6360.21,14840.49
10,Akola_East,GEN,Akola,100475,,,,,75752,,,,,,,,,,,,,,BJP,70332.5,0,,,21099.75,9042.75,0,0
11,Murtizapur,SC,Akola,59527,,,,,57617,,,,,,,,,,,,,,,41668.9,12346.5,,,12500.67,5357.43,8642.55,20165.95
12,Risod,GEN,Akola,,69875,,,,34475,,,,,,,,,,,,,67734,,0,48912.5,,,0,0,6288.75,14673.75
13,Badnera,GEN,Amravati,,,74919,,,,,,,,,,,,,,,,90460,,22475.7,0,,,36710.31,15732.99,0,0
14,Amravati,GEN,Amravati,64313,82581,,,,,,,,,,,,,,,,,,,45019.1,57806.7,,,13505.73,5788.17,7432.29,17342.01
15,Teosa,GEN,Amravati,,76218,65857,,,,,,,,,,,,,,,,,,19757.1,53352.6,,,32269.93,13829.97,6859.62,16005.78
16,Daryapur,SC,Amravati,65370,95889,,,,,,,,,,,,,,,,,,INC,45759,67122.3,,,13727.7,5883.3,8630.01,20136.69
17,Melghat,ST,Amravati,43207,,,,,,,84569,,,,,,,,,,,,,30244.9,0,,,9073.47,3888.63,0,0
18,Achalpur,GEN,Amravati,,72856,,,,,,81252,,,,,,,,,,,,,0,50999.2,,,0,0,6557.04,15299.76
19,Kannad,GEN,Aurangabad,,,79225,,,,,,,,,,,,,,,,60535,,23767.5,0,,,38820.25,16637.25,0,0
20,Phulambri,GEN,Aurangabad,106190,90916,,,,,,,,,,,,,,,,,,,74333,63641.2,,,22299.9,9557.1,8182.44,19092.36
21,Aurangabad_Central,GEN,Aurangabad,,,82217,68325,,,,,,,,,,,,,,,,,24665.1,0,,,40286.33,17265.57,0,0
22,Aurangabad_West,SC,Aurangabad,,,83792,,,,,,,,,,,,,,,,43347,,25137.6,0,,,41058.08,17596.32,0,0
23,Aurangabad_East,GEN,Aurangabad,93966,,,80036,,,,,,,,,,,,,,,,,65776.2,0,,,19732.86,8456.94,0,0
24,Gangapur,GEN,Aurangabad,107193,,,,,,,,,,,,,,,,,,,,75035.1,21666.6,,,22510.53,9647.37,15166.62,35388.78
25,Vaijapur,GEN,Aurangabad,,,98183,,,,,,,,,,,,,,,,,SHS,29454.9,0,,,48109.67,20618.43,0,0
26,Daund,GEN,Baramati,103664,,,,,,,,,,,,,,,,,,,,72564.8,30875.4,,,21769.44,9329.76,21612.78,50429.82
27,Indapur,GEN,Baramati,111850,,,,,,,,,,,,,,,,,,,,78295,34488,,,23488.5,10066.5,24141.6,56330.4
28,Baramati,GEN,Baramati,,,,,,,,,,,,,,,,,,,,NCP,0,58692.3,,,0,0,41084.61,95864.09
29,Purandar,GEN,Baramati,,130710,99306,,,,,,,,,,,,,,,,,INC,29791.8,91497,,,48659.94,20854.26,11763.9,27449.1
30,Bhor,GEN,Baramati,,108925,99719,,,,,,,,,,,,,,,,,,29915.7,76247.5,,,48862.31,20940.99,9803.25,22874.25
31,Khadakwasala,GEN,Baramati,120518,,,,,,,,,,,,,,,,,,,,84362.6,35376.9,,,25308.78,10846.62,24763.83,57782.27
32,Georai,GEN,Beed,99625,,,,,,,,,,,,,,,,,,,,69737.5,27849.9,,,20921.25,8966.25,19494.93,45488.17
33,Majalgaon,GEN,Beed,98676,,,,,,,,,,,,,,,,,,,,69073.2,33469.8,,,20721.96,8880.84,23428.86,54667.34
34,Beed,GEN,Beed,,,97950,,,,,,,,,,,,,,,,,,29385,29980.2,,,47995.5,20569.5,20986.14,48967.66
35,Ashti,GEN,Beed,100931,,,,,,,,,,,,,,,,,,,NCP,70651.7,38026.8,,,21195.51,9083.79,26618.76,62110.44
36,Kaij,SC,Beed,123433,,,,,,,,,,,,,,,,,,,BJP,86403.1,27157.2,,,25920.93,11108.97,19010.04,44356.76
37,Parli,GEN,Beed,91413,,,,,,,,,,,,,,,,,,,NCP,63989.1,36634.2,,,19196.73,8227.17,25643.94,59835.86
38,Tumsar,GEN,Bhandara-Gondiya,,,,,,,,,,,,,,,,,,,79490,,0,26157,,,0,0,18309.9,42723.1
39,Bhandara,SC,Bhandara-Gondiya,78040,,,,,,,,,,,,,,,,,,101717,,54628,0,,,16388.4,7023.6,0,0
40,Sakoli,GEN,Bhandara-Gondiya,88968,95208,,,,,,,,,,,,,,,,,,,62277.6,66645.6,,,18683.28,8007.12,8568.72,19993.68
41,Arjuni-Morgaon,SC,Bhandara-Gondiya,71682,,,,,,,,,,,,,,,,,,,,50177.4,21720,,,15053.22,6451.38,15204,35476
42,Tirora,GEN,Bhandara-Gondiya,76482,,,,,,,,,,,,,,,,,,,,53537.4,15155.7,,,16061.22,6883.38,10608.99,24754.31
43,Gondiya,GEN,Bhandara-Gondiya,75827,,,,,,,,,,,,,,,,,,102996,,53078.9,0,,,15923.67,6824.43,0,0
44,Bhiwandi_Rural,ST,Bhiwandi,,,83567,,,,,,,,,,,,,,,,,,25070.1,0,,,40947.83,17549.07,0,0
45,Shahapur,ST,Bhiwandi,,,60949,,,,,,,,,,,,,,,,,,18284.7,22815.9,,,29865.01,12799.29,15971.13,37265.97
46,Bhiwandi_West,GEN,Bhiwandi,58857,,,,,,,,,,,,,,,,,,43945,,41199.9,0,,,12359.97,5297.13,0,0
47,Bhiwandi_East,GEN,Bhiwandi,,,44223,,,,,,,,,,,,45537,,,,,,13266.9,0,,,21669.27,9286.83,0,0
48,Kalyan_West,GEN,Bhiwandi,,,65486,,,,,,,,,,,,,,,,43209,,19645.8,0,,,32088.14,13752.06,0,0
49,Murbad,GEN,Bhiwandi,174068,,,,,,,,,,,,,,,,,,,BJP,121847.6,0,,,36554.28,15666.12,0,0
50,Buldhana,GEN,Buldhana,,31316,67785,,,41710,,,,,,,,,,,,,,,20335.5,21921.2,,,33214.65,14234.85,2818.44,6576.36
