Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,NPP,RPI(A),JD(U),NPEP,NPF,KPA,Independent,Strong_Party
1,Khundrakpam,GEN,Inner_Manipur,11996,12211,,,,,,,,
2,Heingang,GEN,Inner_Manipur,24814,,,,,,,,,BJP
3,Khurai,GEN,Inner_Manipur,11131,,8894,6792,,,,,,
4,Kshetrigao,GEN,Inner_Manipur,12376,,13118,,,,,,,
5,Thongju,GEN,Inner_Manipur,15338,8649,,,,,,,,BJP
6,Keirao,GEN,Inner_Manipur,17335,,9126,,,,,,,BJP
7,Andro,GEN,Inner_Manipur,16739,,15282,,,,,,,BJP
8,Lamlai,GEN,Inner_Manipur,10105,7049,,,9984,,,,,
9,Thangmeiband,GEN,Inner_Manipur,9856,,,,13629,,,,,JD(U)
10,Uripok,GEN,Inner_Manipur,8335,,7426,,,,,,,
11,Sagolband,GEN,Inner_Manipur,11054,,,,8398,,,,,BJP
12,Keishamthong,GEN,Inner_Manipur,,,,8687,,,,,8874,
13,Singjamei,GEN,Inner_Manipur,8709,,6414,,,,,,,
14,Yaiskul,GEN,Inner_Manipur,9724,,9092,,,,,,,
15,Wangkhei,GEN,Inner_Manipur,10840,,,,11593,9275,,,,
16,Sekmai,SC,Inner_Manipur,10010,,6677,,,,,,,
17,Lamsang,GEN,Inner_Manipur,15185,,14785,,,,,,,
18,Konthoujam,GEN,Inner_Manipur,13432,,13038,,,,,,,
19,Patsoi,GEN,Inner_Manipur,12186,11499,10741,,,,,,,
20,Langthabal,GEN,Inner_Manipur,10815,8762,,,,,,,,
21,Naoriya_Pakhanglakpa,GEN,Inner_Manipur,11058,9444,10527,,,,,,,
22,Wangoi,GEN,Inner_Manipur,12340,,15606,,,,,,,NPP
23,Mayang_Imphal,GEN,Inner_Manipur,14642,8513,7374,,,,,,,
24,Nambol,GEN,Inner_Manipur,16885,13825,,,,,,,,BJP
25,Oinam,GEN,Inner_Manipur,10366,,10808,,,,,,,
26,Bishnupur,GEN,Inner_Manipur,13611,,,,12202,,,,,
27,Moirang,GEN,Inner_Manipur,12206,9404,14428,,,,,,,
28,Thanga,GEN,Inner_Manipur,13095,7844,,,,,,,,BJP
29,Kumbi,GEN,Inner_Manipur,8513,,7787,,8141,,,,,
30,Lilong,GEN,Inner_Manipur,16316,,,,16886,,,,,
31,Thoubal,GEN,Inner_Manipur,12542,15085,,,,,,,,INC
32,Wangkhem,GEN,Inner_Manipur,7597,8889,,7100,,,,,,
33,Heirok,GEN,Outer_Manipur,13589,13186,,,,,,,,
34,Wangjing_Tentha,GEN,Outer_Manipur,15765,13852,,,,,,,,BJP
35,Khangabok,GEN,Outer_Manipur,9632,17435,,,7555,,,,,INC
36,Wabgai,GEN,Outer_Manipur,9138,9088,,,,,,,,
37,Kakching,GEN,Outer_Manipur,7341,,8546,,,,,,,
38,Hiyanglam,GEN,Outer_Manipur,8713,6584,,,6559,,,,,
39,Sugnu,GEN,Outer_Manipur,11657,12673,,,,,,,,INC
40,Jiribam,GEN,Outer_Manipur,11897,,,,12313,,,,,
41,Chandel,ST,Outer_Manipur,37066,,,,,,9725,,,BJP
42,Tengnoupal,ST,Outer_Manipur,21663,,,,,,15252,,,BJP
43,Phungyar,ST,Outer_Manipur,10863,7453,,,,,11642,,,
44,Ukhrul,ST,Outer_Manipur,9961,14561,,,,,15503,,,
45,Chingai,ST,Outer_Manipur,9349,8150,10501,,,,12837,,,
46,Saikul,ST,Outer_Manipur,,,,,,,,6710,5461,
47,Karong,ST,Outer_Manipur,13649,,,,,,10483,,17191,
48,Mao,ST,Outer_Manipur,,,,,,,29591,,21078,NPF
49,Tadubi,ST,Outer_Manipur,,,21601,,,,21052,,,
50,Kangpokpi,GEN,Outer_Manipur,14412,,,,9016,,,,,
51,Saitu,ST,Outer_Manipur,9762,7133,6978,,,,,,12456,
52,Tamei,ST,Outer_Manipur,,,17945,,,,19643,,,NPF
53,Tamenglong,ST,Outer_Manipur,9147,,10456,,,,,,,
54,Nungba,ST,Outer_Manipur,14464,10678,,,,,,,,BJP
55,Tipaimukh,ST,Outer_Manipur,5018,,,,6267,,,,,JD(U)
56,Thanlon,ST,Outer_Manipur,4863,,4112,,,,,,,
57,Henglep,ST,Outer_Manipur,13897,6049,,,,,,,,BJP
58,Churachandpur,ST,Outer_Manipur,17607,8482,,,18231,,,,,
59,Saikot,ST,Outer_Manipur,18457,10250,12586,,,,,,,
60,Singhat,ST,Outer_Manipur,10079,,,,,,,12098,,KPA
