Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,NPP,UDP,AITC,VPP,PDF,HSPDP,GNC,Independent,Strong_Party
1,Nartiang,ST,Shillong,,14846,16969,,,,,,,,
2,Jowai,ST,Shillong,,,14079,,11412,,,,,,
3,Raliang,ST,Shillong,8289,,13626,,,,,,,,
4,Mowkaiaw,ST,Shillong,,,10607,14508,,,,,,,
5,Sutnga_Saipung,ST,Shillong,,14866,16974,,,,,,,,
6,Khliehriat,ST,Shillong,,,17908,23514,,,,,,,UDP
7,Amlarem,ST,Shillong,,,17746,17803,,,,,,,
8,Mawhati,ST,Shillong,,13273,8029,,,,,,,,
9,Nongpoh,ST,Shillong,,8254,,14940,,,,,,,
10,Jirang,ST,Shillong,,11067,12690,,,,,,,,
11,Umsning,ST,Shillong,,9907,,8743,,,,,,,
12,Umroi,ST,Shillong,,,14213,,12527,,,,,,
13,Mawryngkneng,ST,Shillong,,,,10182,,11424,,,,,
14,Pynthorumkhrah,GEN,Shillong,9321,6783,,,,,,,,,
15,Mawlai,ST,Shillong,,,8614,,,24262,,,,,VPP
16,East_Shillong,ST,Shillong,,4926,6637,,,,,,,,
17,North_Shillong,ST,Shillong,4550,,,,,5583,,,,,
18,West_Shillong,GEN,Shillong,,,4432,7917,,,,,,,
19,South_Shillong,GEN,Shillong,14213,,,,,2604,,,,,BJP
20,Mylliem,ST,Shillong,,8904,,,,8866,,,,,
21,Nongthymmai,ST,Shillong,,,,6253,7452,,,,,,
22,Nongkrem,ST,Shillong,,,,9099,,13286,,,,,
23,Sohiong,ST,Shillong,,,13257,16679,,,,,,,UDP
24,Mawphlang,ST,Shillong,,,,6690,,,6586,,,,
25,Mawsynram,ST,Shillong,10032,,,10987,,,,,,,
26,Shella,ST,Shillong,,,12840,13274,,,,,,,
27,Pynursla,ST,Shillong,,5605,13745,,,,,,,,
28,Sohra,ST,Shillong,,,,11343,,,11358,,,,
29,Mawkynrew,ST,Shillong,,,,,,,11789,7652,,,
30,Mairang,ST,Shillong,,18911,,19066,,,,,,,
31,Mawthadraishan,ST,Shillong,,,,15013,,,,17366,,,
32,Nongstoin,ST,Shillong,,13847,11223,,,,,,,,
33,Rambrai-Jyrngam,ST,Shillong,,,,,,,,8947,,9057,
34,Mawshynrut,ST,Shillong,,,14181,,,,,19368,,,HSPDP
35,Ranikor,ST,Shillong,10853,,,16502,,,,,,,
36,Mawkyrwat,ST,Shillong,,9406,,10678,,,,,,,
37,Kharkutta,ST,Tura,,,17426,,15896,,,,,,
38,Mendipathar,ST,Tura,,5538,9363,,,,,,,,
39,Resubelpara,ST,Tura,,,10948,,7483,,,,,,
40,Bajengdoba,ST,Tura,,7584,9900,,,,,,,,
41,Songsak,ST,Tura,,,12317,,12689,,,,,,
42,Rongjeng,ST,Tura,,,8836,,,,,,,8708,
43,Williamnagar,ST,Tura,,7133,10976,,,,,,,,
44,Raksamgre,ST,Tura,9366,,12184,,,,,,,,
45,Tikrikilla,ST,Tura,,,13218,,7905,,,,,,
46,Phulbari,GEN,Tura,,,14969,,11729,,,,,,NPP
47,Rajabala,GEN,Tura,,,12618,,12628,,,,,,
48,Selsella,ST,Tura,,,16595,,7854,,,,,,
49,Dadenggre,ST,Tura,,,15684,,15702,,,,,,
50,North_Tura,ST,Tura,7500,,11385,,,,,,,,
51,South_Tura,ST,Tura,8326,,13342,,,,,,,,NPP
52,Rangsakona,ST,Tura,,,13605,,12817,,,,,,
53,Ampati,ST,Tura,,,11169,,13446,,,,,,
54,Mahendraganj,ST,Tura,,,13560,,11842,,,,,,
55,Salmanpara,ST,Tura,,,11352,,6114,,,,,,
56,Gambegre,ST,Tura,,11252,,,8381,,,,,,
57,Dalu,ST,Tura,5307,,5834,,,,,,,,
58,Rongara Siju,ST,Tura,,8311,11569,,,,,,,,
59,Chokpot,ST,Tura,,,9503,,,,,,,,
60,Baghmara,ST,Tura,6788,,,,,,,,,9013,
