Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,MNF,ZPM,Independent,Strong_Party
1,Hachhek,ST,Mizoram,,,5705,5399,,
2,Dampa,ST,Mizoram,,,6218,5926,,
3,Mamit,ST,Mizoram,,5375,7167,,,
4,Tuirial,ST,Mizoram,,,6610,6597,,
5,Kolasib,ST,Mizoram,,,7488,8657,,
6,Serlui,ST,Mizoram,,6336,7242,,,
7,Tuivawl,ST,Mizoram,,,6501,4482,,
8,Chalfilh,ST,Mizoram,,,4804,6637,,
9,Tawi,ST,Mizoram,,,5439,6991,,
10,Aizawl_North_1,ST,Mizoram,,,5287,10772,,ZPM
11,Aizawl_North_2,ST,Mizoram,,,4533,11040,,ZPM
12,Aizawl_North_3,ST,Mizoram,,,4913,6783,,
13,Aizawl _East_1,GEN,Mizoram,,,8626,10727,,
14,Aizawl_East_2,ST,Mizoram,,,4533,7289,,
15,Aizawl_West_1,ST,Mizoram,,,7205,11872,,
16,Aizawl_West_2,ST,Mizoram,,,5579,10398,,
17,Aizawl_West_3,ST,Mizoram,,,4620,9202,,
18,Aizawl_South_1,ST,Mizoram,,,5499,9124,,ZPM
19,Aizawl_South_2,ST,Mizoram,,7478,,9117,,
20,Aizawl_South_3,ST,Mizoram,,,7956,9370,,
21,Lengteng,ST,Mizoram,,,6124,6171,,
22,Tuichang,ST,Mizoram,,,6079,6988,,
23,Champhai_North,ST,Mizoram,,,6424,7134,,
24,Champhai_South,ST,Mizoram,,,6994,7323,,
25,East_Tuipui,ST,Mizoram,,,6075,5915,,
26,Serchhip,ST,Mizoram,,,5332,8314,,
27,Tuikum,ST,Mizoram,,,4975,7136,,
28,Hrangturzo,ST,Mizoram,,,5025,6280,,
29,South_Tuipui,ST,Mizoram,,,5333,5468,,
30,Lunglei_North,ST,Mizoram,,,5394,7369,,
31,Lunglei_East,ST,Mizoram,,3995,,5641,,
32,Lunglei_West,ST,Mizoram,,,3747,5029,,
33,Lunglei_South,ST,Mizoram,,,5305,6531,,
34,Thorang,ST,Mizoram,,4079,4141,,,
35,West_Tuipui,ST,Mizoram,,6456,7167,,,
36,Tuichawng,ST,Mizoram,12695,,13346,,,
37,Lawngtlai_West,ST,Mizoram,,11296,10864,,,
38,Lawngtlai_East,ST,Mizoram,,,7971,10072,,
39,Saiha,ST,Mizoram,6740,3607,6124,2219,,
40,Palak,ST,Mizoram,6064,3729,4823,1378,,
