Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,NDPP,LJP(RV),Independent,JD(U),NPF,RPI(A),NCP,NPP,RPP,RJD,Strong_Party
1,Dimapur_I,GEN,Nagaland,13325,6366,,,,,,,,,,,BJP
2,Dimapur_II,ST,Nagaland,,1784,23856,18709,,,,,,,,,NDPP
3,Dimapur_III,ST,Nagaland,,370,14395,12859,4116,,,,,,,,NDPP
4,Ghaspani_I,ST,Nagaland,32037,4513,,,11941,8228,277,,,,,,BJP
5,Ghaspani_II,ST,Nagaland,,,11405,5793,,,,7230,,,,,NDPP
6,Tening,ST,Nagaland,,1704,6399,,5530,,,,6736,2467,,,NCP
7,Peren,ST,Nagaland,,,16800,,,,6885,,,,,,NDPP
8,Western_Angami,ST,Nagaland,,,7078,,7071,,,,,,,,NDPP
9,Kohima_Town,ST,Nagaland,,1413,8502,,,,,,,9844,,,NPP
10,Northern_Angami_I,ST,Nagaland,,,7724,,,,6034,,,,,,NDPP
11,Northern_Angami_II,ST,Nagaland,,1221,17045,,,,,,,,,,NDPP
12,Tseminyü,ST,Nagaland,,,4781,352,,8096,,5533,,,3718,,JD(U)
13,Pughoboto,ST,Nagaland,,,6958,7808,,,,,,,,,NDPP
14,Southern_Angami_I,ST,Nagaland,,,6466,,6643,,,,,,,,NDPP
15,Southern_Angami_II,ST,Nagaland,5985,,,,,4624,,,5535,,,,BJP
16,Pfütsero,ST,Nagaland,,,7891,,7995,,3059,,,,,,Independent
17,Chizama,ST,Nagaland,,,7088,5809,,,104,,,3310,,,NDPP
18,Chozuba,ST,Nagaland,,,7088,5809,,,104,,,3310,,,NDPP
19,Phek,ST,Nagaland,,427,9441,,,,9489,,,,,,NPF
20,Meluri,ST,Nagaland,,,11256,7676,,,304,,,,,,NDPP
21,Tuli,ST,Nagaland,10319,,,,,,,,7290,,,,BJP
22,Arkakong,ST,Nagaland,,,8184,,,,,,,9387,,,NPP
23,Impur,ST,Nagaland,,5730,6825,,,,,,,,,,NDPP
24,Angetyongpang,ST,Nagaland,,,8046,,5826,,,,,1842,,,NDPP
25,Mongoya,ST,Nagaland,,5776,6818,,,,3640,,,,,,
26,Aonglenden,ST,Nagaland,,2843,7363,,,,,,,,,,NDPP
27,Mokokchung_Town,ST,Nagaland,,1407,5318,,,,,,,,,,NDPP
28,Koridang,ST,Nagaland,8340,,,,2696,138,7930,,,,,,
29,Jatpetkong,ST,Nagaland,,,6238,777,,,4237,,,,,,NDPP
30,Alongtaki,ST,Nagaland,9274,,,,,5526,,,,,,,BJP
31,Akuluto,ST,Nagaland,,,,,,,,,,,,,BJP
32,Atoizu,ST,Nagaland,7692,,,,,,,,8294,,,,NCP
33,Suruhoto,ST,Nagaland,6850,,,,,,,,6919,,,,NCP
34,Aghunato,ST,Nagaland,,,7133,6541,,,,,,,,,NDPP
35,Zünheboto,ST,Nagaland,,,15921,,,,3893,,,,,,NDPP
36,Satakha,ST,Nagaland,,,8875,7524,,,,,,,,,NDPP
37,Tyüi,ST,Nagaland,16641,,,,31,7800,,,,,,41,BJP
38,Wokha,ST,Nagaland,12888,324,,,,,,,15949,,,,NCP
39,Sanis,ST,Nagaland,,94,15076,289,105,,1754,,,,,5563,NDPP
40,Bhandari,ST,Nagaland,10278,325,,,77,,,,13867,1072,,,NPF
41,Tizit,ST,Nagaland,10428,5825,,,,,3374,,,,,,BJP
42,Wakching,ST,Nagaland,,,9166,,,,,,,6433,,,NDPP
43,Tapi,ST,Nagaland,,4720,10053,,,,,,,,,,NDPP
44,Phomching,ST,Nagaland,9803,84,,,,,,,6926,,,,BJP
45,Tehok,ST,Nagaland,,120,9232,149,,,2162,,,,,,NDPP
46,Mon_Town,ST,Nagaland,8259,,,,,,,,10870,,,,NCP
47,Aboi,ST,Nagaland,,,2766,,6771,,,3247,,,,,Independent
48,Moka,ST,Nagaland,,,8301,,,,288,,,8857,,,NPP
49,Tamlu,ST,Nagaland,,,7952,,8646,,,259,,,,,Independent
50,Longleng,ST,Nagaland,11638,232,,,410,,,,16908,,,,NCP
51,Noksen,ST,Nagaland,,,4963,,,,,5151,,,,,RPI(A)
52,Longkhim_Chare,ST,Nagaland,10187,,,,,,,1450,8564,,,,BJP
53,Tuensang_Sadar_I,ST,Nagaland,12638,,,,287,,,,6994,,,,BJP
54,Tuensang_Sadar_II,ST,Nagaland,,87,5114,,,,4487,5514,,,,,
55,Tobu,ST,Nagaland,,,10116,10622,,,,,,,,,LJP(RV)
56,Noklak,ST,Nagaland,7748,,,,,,,,8482,,,,NCP
57,Thonoknyu,ST,Nagaland,,,8139,47,,,,,,10467,,,NPP
58,Shamator–Chessore,ST,Nagaland,,85,9065,6770,,,146,,,,,,NDPP
59,Seyochung–Sitimi,ST,Nagaland,10962,18,,,,,,,,11694,,,NPP
60,Pungro–Kiphire,ST,Nagaland,,62,16098,,,,,13807,,,,,NDPP
