Index,Assembly_Seat,Seat_Type,Constituency_Name,BJD,BJP,INC,BSP,SUCI,JMM,CPI(M),Independent,Strong_Party
1,Polasara,GEN,Aska,80463,67724,3493,,,,,,BJD
2,Kabisuryangar,GEN,Aska,92347,43319,,,,,,,BJD
3,Khalikote,SC,Aska,86105,44560,,,,,,,BJD
4,Aska,GEN,Aska,66872,39639,,,,,,,BJD
5,Surada,GEN,Aska,76501,62505,,,,,,,BJD
6,Sanakhemundi,GEN,Aska,51294,15335,75021,,,,,,INC
7,Hinjili,GEN,Aska,94065,33905,,,,,,,BJD
8,Badasahi,SC,Balasore,57953,69072,,,,,,,
9,Jaleswar,GEN,Balasore,85435,49992,35026,,,,,,BJD
10,Bhograi,GEN,Balasore,76796,25474,59921,,,,,,
11,Basta,GEN,Balasore,71737,36874,59873,,,,,,
12,Balasore,GEN,Balasore,61409,74815,19704,,,,,,
13,Remuna,SC,Balasore,79097,74979,,,,,,,
14,Nilgiri,GEN,Balasore,67940,69517,,,,,,,
15,Padampur,GEN,Bargarh,83299,77565,32787,,,,,,
16,Bijepur,GEN,Bargarh,110604,53482,,,,,,,BJD
17,Bargarh,GEN,Bargarh,75133,66681,16305,,,,,,
18,Attabira,SC,Bargarh,84010,61614,21511,,,,,,
19,Bhatli,GEN,Bargarh,98666,75434,,,,,,,BJD
20,Brajarajnagar,GEN,Bargarh,80152,68518,,,,,,,
21,Jharsuguda,GEN,Bargarh,98620,52921,18823,,,,,,BJD
43,Chhatrapur,SC,Berhampur,74594,53543,,,,,,,BJD
44,Gopalpur,GEN,Berhampur,61628,58955,,,,,,,
45,Brahmapur,GEN,Berhampur,68113,32629,,,,,,,BJD
46,Digapahandi,GEN,Berhampur,75016,34564,17815,,,,,,
47,Chikiti,GEN,Berhampur,73353,52718,,,,,,,
48,Mohana,ST,Berhampur,51351,46176,53705,,,,,,
49,Paralakhemundi,GEN,Berhampur,26645,52415,24040,,,,,37080,
22,Soro,SC,Bhadrak,54775,49839,47036,,,,,,
23,Simulia,GEN,Bhadrak,90083,75124,,,,,,,BJD
24,Bhandaripokhari,GEN,Bhadrak,70180,39141,61321,,,,,,
25,Bhadrak,GEN,Bhadrak,93668,60279,22630,,,,,,BJD
26,Basudevpur,GEN,Bhadrak,78963,35777,69382,,,,,,
27,Dhamnagar,SC,Bhadrak,75486,80111,,,,,,,
28,Chandabali,GEN,Bhadrak,77313,69233,30146,,,,,,
29,Jayadev,SC,Bhubaneswar,63000,28798,,,,,,44300,
30,Bhubaneswar_Central,GEN,Bhubaneswar,54022,42580,,,,,,,BJD
31,Bhubaneswar_North,GEN,Bhubaneswar,71193,45779,,,,,,,BJD
32,Ekamra-Bhubaneswar,GEN,Bhubaneswar,75020,46363,,,,,,,
33,Jatani,GEN,Bhubaneswar,61319,26256,68841,,,,,,
34,Begunia,GEN,Bhubaneswar,73178,26321,53130,,,,,,
35,Khurda,GEN,Bhubaneswar,84553,74510,,,,,,,
36,Birmaharajpur,SC,Bolangir,65202,52145,40735,,,,,,
37,Sonepur,GEN,Bolangir,99073,73347,23326,,,,,,
38,Loisingha,SC,Bolangir,57593,71261,40053,,,,,,
39,Patnagarh,GEN,Bolangir,88031,77003,30253,,,,,,
40,Bolangir,GEN,Bolangir,66257,28924,71598,,,,,,
41,Titlagarh,GEN,Bolangir,73172,47341,53585,,,,,,
42,Kantabanji,GEN,Bolangir,54527,64118,64246,,,,,,
50,Baramba,GEN,Cuttack,90564,72545,,,,,,,BJD
51,Banki,GEN,Cuttack,74599,32541,50481,,,,,,
52,Athagarh,GEN,Cuttack,98114,40119,,,,,,,
53,Barabati-Cuttack,GEN,Cuttack,46417,33825,50244,,,,,,
54,Choudwar-Cuttack,GEN,Cuttack,64686,43102,,,,,,14652,
55,Cuttack-Sadar,SC,Cuttack,86329,60250,,,,,,,BJD
56,Khandapada,GEN,Cuttack,100038,14014,,,,,,18608,BJD
57,Dhenkanal,GEN,Dhenkanal,89536,68896,24788,,,,,,
58,Hindol,SC,Dhenkanal,93980,75075,,,,,,,BJD
59,Kamakhyanagar,GEN,Dhenkanal,81695,65186,,,,,,,BJD
60,Parjanga,GEN,Dhenkanal,78747,78007,,,,,,,
61,Pallahara,GEN,Dhenkanal,59350,53136,,,,,,,
62,Talcher,GEN,Dhenkanal,70044,45942,,,,,,,BJD
63,Angul,GEN,Dhenkanal,65388,56565,30572,,,,,,
64,Niali,SC,Jagatsinghpur,94013,66310,,,,,,,
65,Paradeep,GEN,Jagatsinghpur,69871,35037,48879,,,,,,
66,Tirtol,GEN,Jagatsinghpur,93967,53581,23809,,,,,,BJD
67,Balikuda-Erasama,GEN,Jagatsinghpur,103814,37611,49231,,,,,,BJD
68,Jagatsinghpur,GEN,Jagatsinghpur,70116,28639,61474,,,,,,
69,Kakatpur,SC,Jagatsinghpur,91897,30771,46206,,,,,,BJD
70,Nimapara,GEN,Jagatsinghpur,91160,59152,33576,,,,,,
71,Binjharpur,SC,Jajpur,79087,57861,,,,,,,
72,Bari,GEN,Jajpur,72559,68497,,,,,,,
73,Barachana,GEN,Jajpur,64084,62599,,,,,,,
74,Dharmasala,GEN,Jajpur,101364,48625,18588,,,,,,BJD
75,Jajpur,GEN,Jajpur,99738,59082,,,,,,,BJD
76,Korei,GEN,Jajpur,73403,42679,28486,,,,,,
77,Sukinda,GEN,Jajpur,77510,60780,18619,,,,,,
78,Nuapada,GEN,Kalahandi,65647,29490,45317,,,,,16535,
79,Khariar,GEN,Kalahandi,56451,52245,59308,,,,,,
80,Lanjigarh,ST,Kalahandi,62413,39777,48105,,,,,,
81,Junagarh,GEN,Kalahandi,83789,55930,32343,,,,,,
82,Dharmgarh,GEN,Kalahandi,68291,52193,42593,,,,,22839,
83,Bhawanipatna,SC,Kalahandi,58379,63063,35494,,,,,,
84,Narla,GEN,Kalahandi,53264,44244,35753,,,,,22020,
85,Baliguda,ST,Kandhamal,43175,25217,36265,,,,,,
86,G_Udayagiri,ST,Kandhamal,53238,35998,41977,,,,,,
87,Phulbani,ST,Kandhamal,65564,41148,23317,,,,,,
88,Kantamal,GEN,Kandhamal,43099,39449,13166,,,,,28370,
89,Boudh,GEN,Kandhamal,61536,51088,,,,,,,BJD
90,Daspalla,SC,Kandhamal,75006,39715,,,,,,,
91,Bhanjanagar,GEN,Kandhamal,76879,67776,,,,,,,
92,Salipur,GEN,Kendrapara,104154,71944,,,,,,,BJD
93,Mahanga,GEN,Kendrapara,106054,76469,,,,,,,BJD
94,Patkura,GEN,Kendrapara,96030,78132,,,,,,,
95,Kendrapara,SC,Kendrapara,63966,22141,57646,,,,,,
