Index,Assembly_Seat,Seat_Type,Constituency_Name,AAP,INC,SAD,BJP,BSP,SAD(A),SAD(S),LIP,PLCK,Independent,Strong_Party
1,Ajnala,GEN,Amritsar,43555,33853,35712,,,,,,,,
2,Raja_Sansi,GEN,Amritsar,37426,46872,41398,,,,,,,,
3,Majitha,GEN,Amritsar,30965,26008,57027,,,,,,,,
4,Amritsar_North,GEN,Amritsar,58133,18983,29815,13865,,,,,,,
5,Amritsar_West,SC,Amritsar,69251,25338,,,,,,,,,AAP
6,Amritsar_Central,GEN,Amritsar,40837,26811,,13551,,,,,,,
7,Amritsar_East,GEN,Amritsar,39679,32929,25188,,,,,,,,
8,Amritsar_South,GEN,Amritsar,53053,22467,25550,,,,,,,,AAP
9,Attari,SC,Amritsar,56798,37004,37004,,,,,,,,
10,Garhshankar,GEN,Anandpur_Sahib,32341,28162,25430,24735,,,,,,,
11,Banga,SC,Anandpur_Sahib,32020,32269,37338,,,,,,,,
12,Nawan_Shahr,GEN,Anandpur_Sahib,31655,,,,37031,,,,,31516,
13,Balachaur,GEN,Anandpur_Sahib,39633,31201,35092,,,,,,,,
14,Anandpur_Sahib,GEN,Anandpur_Sahib,82132,36352,,,,,,,,,AAP
15,Rupnagar,GEN,Anandpur_Sahib,59903,36271,22338,,,,,,,,
16,Chamkaur_Sahib,SC,Anandpur_Sahib,70248,62306,,,,,,,,,
17,Kharar,GEN,Anandpur_Sahib,78273,25291,40388,,,,,,,,
18,SAS_Nagar,GEN,Anandpur_Sahib,77134,43037,,17020,,,,,,,AAP
19,Lambi,GEN,Bathinda,66313,,54917,,,,,,,,
20,Bhucho_Mandi,SC,Bathinda,85778,20681,35566,,,,,,,,
21,Bathinda_Urban,GEN,Bathinda,93057,29476,24183,,,,,,,,
22,Bathinda_Rural,SC,Bathinda,66096,22716,30617,,,,,,,,
23,Talwandi_Sabo,GEN,Bathinda,48753,26628,33501,,,,,,,,
24,Maur,GEN,Bathinda,63099,15034,23355,,,,,,,28091,
