Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,RLP,RLD,BSP,CPI(M),JJP,AAP,BTP,JSR,VM,SS,ASPKR,RSHTRJNTS,BHRTADVSIP,Independent,Strong_Party
45,Dudu,SC,Ajmer,116561,80818,,,,,,,,,,,,,,,BJP
98,Kishangarh,GEN,Ajmer,37534,83645,,,,,,,,,,,,,,80025,
99,Pushkar,GEN,Ajmer,84619,70750,,,,,,,,,,,,,,,
100,Ajmer_North ,GEN,Ajmer,57895,53251,,,,,,,,,,,,,,26352,
101,Ajmer_South ,SC,Ajmer,71319,66873,,,,,,,,,,,,,,,BJP
102,Nasirabad,GEN,Ajmer,79364,78229,,,,,,,,,,,,,,,
104,Masuda,GEN,Ajmer,74266,47550,,,29508,,,,,,,,,,,21375,
105,Kekri,GEN,Ajmer,99671,92129,,,,,,,,,,,,,,,
59,Tijara,GEN,Alwar,110209,104036,,,,,,,,,,,,,,,
60,Kishangarh_Bas,GEN,Alwar,81420,91916,,,23371,,,,,,,,,,,,
61,Mundawar,GEN,Alwar,70111,105735,,,,,,,,,,,,,,,INC
62,Behror,GEN,Alwar,70400,46668,,,,,,,,,,,,53177,,,
65,Alwar Rural,SC,Alwar,81251,108584,,,,,,,,,,,,,,,INC
66,Alwar_Urban,GEN,Alwar,90504,81417,,,,,,,,,,,,,,,BJP
67,Ramgarh,GEN,Alwar,34882,93765,,,,,,,,,,,74069,,,,
68,Rajgarh-Laxmangarh,ST,Alwar,70892,93459,,,,,,,,,,,,,,,INC
158,Dungarpur,ST,Banswara,45602,69338,,,,,,,,,,,,,50285,,
160,Sagwara,ST,Banswara,75175,46742,,,,,,,,,,,,,63176,,
161,Chorasi,ST,Banswara,41984,28120,,,,,,,,,,,,,111150,,
162,Ghatol,ST,Banswara,55537,88335,,,,,,,,,,,,,84644,,
163,Garhi,ST,Banswara,87392,72285,,,,,,,,,,,,,43525,,
164,Banswara,ST,Banswara,91617,93017,,,,,,,,,,,,,34666,,
165,Bagidora,ST,Banswara,45140,101742,,,,,,,,,,,,,60387,,
166,Kushalgarh,ST,Banswara,87676,97480,,,,,,,,,,,,,33758,,
132,Jaisalmer,GEN,Barmer,104636,85949,,,,,,,,,,,,,,,BJP
134,Sheo,GEN,Barmer,,55264,,,,,,,,,,,,,,79495,Independent
135,Barmer,GEN,Barmer,,93611,,,,,,,,,,,,,,106948,
136,Baytoo,GEN,Barmer,51720,76821,75911,,,,,,,,,,,,,,
137,Pachpadra,GEN,Barmer,77997,75468,22581,,,,,,,,,,,,,,
138,Siwana,GEN,Barmer,62875,44115,,,,,,,,,,,,,,51068,
139,Gudha_Malani,GEN,Barmer,107632,92415,,,,,,,,,,,,,,,
140,Chohtan,SC,Barmer,103205,101777,,,,,,,,,,,,,,,
69,Kathumar,SC,Bharatpur,79756,79347,,,,,,,,,,,,,,,
70,Kaman,GEN,Bharatpur,78646,58130,,,,,,,,,,,,,,64740,
71,Nagar,GEN,Bharatpur,75579,74048,,,,,,,,,,,46314,,,,
72,Deeg-Kumher,GEN,Bharatpur,89063,81168,,,,,,,,,,,,,,,BJP
73,Bharatpur,GEN,Bharatpur,76491,,,81878,25231,,,,,,,,,,,,
74,Nadbai,GEN,Bharatpur,103795,88028,,,,,,,,,,,,,,,BJP
75,Weir,SC,Bharatpur,94056,87084,,,,,,,,,,,,,,,
76,Bayana,SC,Bharatpur,,65107,,,,,,,,,,,,,,105749,
177,Asind,GEN,Bhilwara,74586,73060,56904,,,,,,,,,,,,,,
178,Mandal,GEN,Bhilwara,126291,90413,,,,,,,,,,,,,,,BJP
179,Sahara,GEN,Bhilwara,117203,54684,,,,,,,,,,,,,,,BJP
180,Bhilwara,GEN,Bhilwara,55625,59317,,,,,,,,,,,,,,70095,
181,Shahpura,SC,Bhilwara,100135,40837,,,,,,,,,,,,,,34783,BJP
182,Jahazpur,GEN,Bhilwara,96933,96353,,,,,,,,,,,,,,,
183,Mandalgarh,GEN,Bhilwara,93119,84925,,,,,,,,,,,,,,,
184,Hindoli,GEN,Bhilwara,82350,127354,,,,,,,,,,,,,,,INC
6,Anupgarh,SC,Bikaner,64865,102746,,,,,,,,,,,,,,,INC
12,Khajuwala,SC,Bikaner,91276,73902,,,,,,,,,,,,,,,BJP
13,Bikaner_West ,GEN,Bikaner,98648,78454,,,,,,,,,,,,,,,BJP
14,Bikaner_East,GEN,Bikaner,89917,70614,,,,,,,,,,,,,,,BJP
15,Kolayat,GEN,Bikaner,101093,68160,27854,,,,,,,,,,,,,,BJP
16,Lunkaransar,GEN,Bikaner,60452,51583,,,,,,,,,,,,,,45379,
17,Dungargarh,GEN,Bikaner,65690,57565,,,,56498,,,,,,,,,,,
18,Nokha,GEN,Bikaner,75066,83215,,,,,,,,,33781,,,,,,
154,Mavli,GEN,Chittorgarh,76129,77696,32521,,,,,,,,,,,,,,
155,Vallabhnagar,GEN,Chittorgarh,83227,63167,,,,,,,,47032,,,,,,,
167,Kapasan,SC,Chittorgarh,84778,63434,29425,,,,,,,,,,,,,,
168,Begun,GEN,Chittorgarh,136714,86053,,,,,,,,,,,,,,,BJP
169,Chittorgarh,GEN,Chittorgarh,,91623,,,,,,,,,,,,,,98446,
170,Nimbahera,GEN,Chittorgarh,116640,112795,,,,,,,,,,,,,,,
171,Bari Sadri,GEN,Chittorgarh,103940,92108,,,,,,,,,,,,,,,
172,Pratapgarh,ST,Chittorgarh,87644,62535,,,,,,,,,,,,,62023,,
10,Nohar,GEN,Churu,102728,103623,,,,26824,,,,,,,,,,,
11,Bhadra,GEN,Churu,102748,,,,,101616,,,,,,,,,,,
19,Sadulpur,GEN,Churu,59429,61794,,,64368,,,,,,,,,,,,
20,Taranagar,GEN,Churu,97891,108236,,,,,,,,,,,,,,,
21,Sardarshahar,GEN,Churu,52538,99582,,,,,,,,,,,,,,77250,
22,Churu,GEN,Churu,99432,92558,,,,,,,,,,,,,,,BJP
23,Ratangarh,GEN,Churu,79720,109383,,,,,,,,,,,,,,,INC
24,Sujangarh,SC,Churu,84337,86790,,,,,,,,,,,,,,,
57,Bassi,ST,Dausa,81729,88043,,,,,,,,,,,,,,,
58,Chaksu,SC,Dausa,104064,54684,,,,,,,,,,,,,,,BJP
64,Thanagazi,GEN,Dausa,65411,67350,,,,,,19876,,,,,,,,,
85,Bandikui,GEN,Dausa,92067,79687,,,,,,,,,,,,,,,BJP
86,Mahuwa,GEN,Dausa,66376,58459,,,,,,,,,,,,,,,
87,Sikrai,SC,Dausa,91996,82568,,,,,,,,,,,,,,,BJP
88,Dausa,GEN,Dausa,67034,98238,,,,,,,,,,,,,,,
89,Lalsot,ST,Dausa,120962,73894,,,,,,,,,,,,,,,BJP
1,Sadulshahar,GEN,Ganganagar,74433,57999,,,,,,,,,,,,,,58973,
2,Ganganagar,GEN,Ganganagar,81001,39006,,,,,,,,,,,,,,51222,
3,Karanpur,GEN,Ganganagar,83667,94950,,,,,,,,,,,,,,,
4,Suratgarh,GEN,Ganganagar,66382,116841,,,,,,,,,,,,,,,INC
5,Raisinghnagar,SC,Ganganagar,65561,79586,,,,61057,,,,,,,,,,,
7,Sangaria,GEN,Ganganagar,56331,98341,,,,,,,,,,,,,,40266,
8,Hanumangarh,GEN,Ganganagar,79625,59366,,,,,,,,,,,,,,89323,
9,Pilibanga,SC,Ganganagar,87818,143091,,,,,,,,,,,,,,,INC
49,Hawa_Mahal,GEN,Jaipur,95989,95015,,,,,,,,,,,,,,,
50,Vidhyadhar_Nagar,GEN,Jaipur,158516,87148,,,,,,,,,,,,,,,BJP
51,Civil_Lines,GEN,Jaipur,98661,70332,,,,,,,,,,,,,,,BJP
52,Kishan_Pole,GEN,Jaipur,69555,76611,,,,,,,,,,,,,,,INC
53,Adarsh_Nagar,GEN,Jaipur,89348,103421,,,,,,,,,,,,,,,INC
54,Malviya_Nagar,GEN,Jaipur,92506,57012,,,,,,,,,,,,,,,BJP
55,Sanganer,GEN,Jaipur,145162,97081,,,,,,,,,,,,,,,BJP
56,Bagru,SC,Jaipur,145170,99920,,,,,,,,,,,,,,,BJP
40,Kotputli,GEN,Jaipur_Rural,67716,67395,,,,,,,,,,,,,,33850,
41,Viratnagar,GEN,Jaipur_Rural,83262,65673,,,,,,,,,,,18897,,,,
42,Shahpura,GEN,Jaipur_Rural,,124072,,,,,,,,,,,,,,59164,INC
44,Phulera,GEN,Jaipur_Rural,85346,112244,,,,,,,,,,,,,,,INC
46,Jhotwara,GEN,Jaipur_Rural,147913,97746,,,,,,,,,,,,,,55159,
47,Amber,GEN,Jaipur_Rural,99822,108914,,,,,,,,,,,,,,,
48,Jamwa_Ramgarh,ST,Jaipur_Rural,100041,61614,,,,,,,,,,,,,,,BJP
63,Bansur,GEN,Jaipur_Rural,61605,45639,,,,,,,,,,,54185,,,,
141,Ahore,GEN,Jalore,83259,72044,,,,,,,,,,,,,,,
142,Jalore,SC,Jalore,84519,64983,,,,,,,,,,,,,,19957,
143,Bhinmal,GEN,Jalore,96130,97157,,,,,,,,,,,,,,,
144,Sanchore,GEN,Jalore,30535,90847,,,26108,,,,,,,,,,,95518,
145,Raniwara,GEN,Jalore,90319,112681,,,,,,,,,,,,,,,INC
146,Sirohi,GEN,Jalore,114729,78924,,,,,,,,,,,,,,,BJP
147,Pindwara_Abu,ST,Jalore,70647,57553,,,,,,,,,,,,,23894,,
148,Reodar,SC,Jalore,89556,93120,,,,,,,,,,,,,,,
193,Anta,GEN,Jhalawar–Baran,87390,81529,,,,,,,,,,,,,,,
194,Kishanganj,ST,Jhalawar–Baran,101857,79576,,,,,,,,,,,,,,,BJP
195,Baran Atru,SC,Jhalawar–Baran,101530,81776,,,,,,,,,,,,,,,BJP
196,Chhabra,GEN,Jhalawar–Baran,65000,59892,,,,,,,,,,,,,,43921,
197,Dag,SC,Jhalawar–Baran,99251,76990,,,,,,,,,,,,,,23701,
