Index,Assembly_Seat,Seat_Type,Constituency_Name,SKM,SDF,BJP,INC,Independent,Strong_Party
1,Yoksam-Tashiding,ST,Sikkim,5686,,,,,
2,Yangthang,GEN,Sikkim,5184,5137,,,,
3,Maneybong Dentam,GEN,Sikkim,5630,7134,,,,SDF
4,Gyalshing-Barnyak,GEN,Sikkim,5862,4048,,,,SKM
5,Rinchenpong,ST,Sikkim,5513,6582,,,,SDF
6,Daramdin,ST,Sikkim,6219,5883,,,,
7,Soreng-Chakung,GEN,Sikkim,6580,6372,,,,SKM
8,Salghari-Zoom,SC,Sikkim,4400,4307,,,,
9,Barfung,ST,Sikkim,5839,5936,,,,
10,Poklok-Kamrang,GEN,Sikkim,4832,7731,,,,SDF
11,Namchi-Singhithang,GEN,Sikkim,4677,5054,,,,SDF
12,Melli,GEN,Sikkim,5489,6354,,,,SDF
13,Namthang-Rateypani,GEN,Sikkim,6848,5543,,,,SKM
14,Temi-Namphing,GEN,Sikkim,6084,5314,,,,SKM
15,Rangang-Yangang,GEN,Sikkim,4621,6146,,,,SDF
16,Tumin-Lingee,ST,Sikkim,6295,6615,,,,SDF
17,Khamdong-Singtam,GEN,Sikkim,5347,4474,,,,SKM
18,West_Pendam,SC,Sikkim,5799,4901,,,,SKM
19,Rhenock,GEN,Sikkim,8039,4953,,,,SKM
20,Chujachen,GEN,Sikkim,5939,7266,,,,SDF
21,Gnathang-Machong,ST,Sikkim,3460,6380,,,,SDF
22,Namchaybong,GEN,Sikkim,5170,6141,,,,
23,Shyari,ST,Sikkim,6638,5282,,,,SKM
24,Martam-Rumtek,ST,Sikkim,6171,6244,,,,
25,Upper_Tadong,GEN,Sikkim,3428,3844,,,,SDF
26,Arithang,GEN,Sikkim,3150,1545,,,2676,
27,Gangtok,ST,Sikkim,3838,2950,,,,
28,Upper_Burtuk,GEN,Sikkim,5350,6107,,,,SDF
29,Kabi_Lungchok,ST,Sikkim,5705,4268,,,,SKM
30,Djongu,ST,Sikkim,2612,5613,,,,SDF
31,Lachen-Mangan,ST,Sikkim,3615,3031,,,,SKM
32,Sangha,GEN,Sikkim,1488,858,,,,SKM
