Index,Assembly_Seat,Seat_Type,Constituency_Name,DMK,AIADMK,INC,PMK,VCK,NTK,MNM,BJP,CPI,CPI(M),IML,AMMK,DMDK,Independent,Strong_Party
3,Tiruttani,GEN,Arakkonam,120314,91061,,,,,,,,,,,,,DMK
38,Arakkonam,SC,Arakkonam,,85399,,,58230,,,,,,,,,,
39,Sholinghur,GEN,Arakkonam,,,110228,83530,,,,,,,,,,,
40,Katpadi,GEN,Arakkonam,85140,84394,,,,,,,,,,,,,
41,Ranipet,GEN,Arakkonam,103291,86793,,,,,,,,,,,,,DMK
42,Arcot,GEN,Arakkonam,103885,,,83927,,,,,,,,,,,
66,Polur,GEN,arani,88007,97732,,,,,,,,,,,,,
67,Arani,GEN,arani,99833,102961,,,,,,,,,,,,,
68,Cheyyar,GEN,arani,102460,90189,,,,,,,,,,,,,
69,Vandavasi,SC,arani,102064,,,66111,,,,,,,,,,,DMK
70,Gingee,GEN,arani,109625,,,73822,,,,,,,,,,,DMK
71,Mailam,GEN,arani,78814,,,81044,,,,,,,,,,,
14,Villivakkam,GEN,Chennai_Central,76127,38890,,,,,,,,,,,,,DMK
16,Egmore,SC,Chennai_Central,68832,30064,,,,,,,,,,,,,DMK
18,Harbour,GEN,Chennai_Central,59317,,,,,,,32043,,,,,,,DMK
19,Chepauk-Thiruvallikeni,GEN,Chennai_Central,93285,,,23930,,,,,,,,,,,DMK
20,Thousand_Lights,GEN,Chennai_Central,71867,,,,,,,39405,,,,,,,DMK
21,Anna_Nagar,GEN,Chennai_Central,80054,52609,,,,,17522,,,,,,,,
10,Thiruvottiyur,GEN,Chennai_North,88185,50524,,,,48597,,,,,,,,,
11,DrRadhakrishnan_Nagar,GEN,Chennai_North,95763,53284,,,,20437,,,,,,,,,DMK
12,Perambur,GEN,Chennai_North,105267,50291,,,,19821,,,,,,,,,DMK
13,Kolathur,GEN,Chennai_North,105522,35138,,,,,,,,,,,,,DMK
15,Thiru-Vi-Ka-Nagar,SC,Chennai_North,81727,26714,,,,,,,,,,,,,
17,Royapuram,GEN,Chennai_North,64424,36645,,,,,,,,,,,,,DMK
22,Virugampakkam,GEN,Chennai_South,74351,55984,,,,,16939,,,,,,,,
23,Saidapet,GEN,Chennai_South,79971,50676,,,,,,,,,,,,,DMK
24,Thiyagarayanagar,GEN,Chennai_South,56035,55898,,,,,14567,,,,,,,,
25,Mylapore,GEN,Chennai_South,68392,55759,,,,,,,,,,,,,
26,Velachery,GEN,Chennai_South,,64141,68493,,,,23072,,,,,,,,
27,Shozhinganallur,GEN,Chennai_South,171558,136153,,,,38872,,,,,,,,,
148,Kunnam,GEN,Chidambaram,103922,97593,,,,,,,,,,,,,
149,Ariyalur,GEN,Chidambaram,103975,100741,,,,,,,,,,,,,
150,Jayankondam,GEN,Chidambaram,99529,,,94077,,,,,,,,,,,
157,Bhuvanagiri,GEN,Chidambaram,88194,96453,,,,,,,,,,,,,
158,Chidambaram,GEN,Chidambaram,,91961,,,,,,,,,75024,,,,AIADMK
159,Kattumannarkoil,SC,Chidambaram,,75491,,,86056,,,,,,,,,,
115,Palladam,GEN,Coimbatore,94212,126903,,,,,,,,,,,,,
116,Sulur,GEN,Coimbatore,87036,118968,,,,,,,,,,,,,
117,Kavundampalayam,GEN,Coimbatore,125893,135669,,,,,,,,,,,,,
118,Coimbatore_(North),GEN,Coimbatore,77453,81454,,,,,26503,,,,,,,,
120,Coimbatore_(South),GEN,Coimbatore,,,42383,,,,51481,53209,,,,,,,
121,Singanallur,GEN,Coimbatore,70390,81244,,,,,36855,,,,,,,,
151,Tittakudi,SC,Cuddalore,83726,,,,,,,62163,,,,,,,DMK
152,Vriddhachalam,GEN,Cuddalore,,,77064,76202,,,,,,,,,76202,,
153,Neyveli,GEN,Cuddalore,75177,,,74200,,,,,,,,,,,
154,Panruti,GEN,Cuddalore,93801,89104,,,,,,,,,,,,,
155,Cuddalore,GEN,Cuddalore,84563,79412,,,,,,,,,,,,,
156,Kurinjipadi,GEN,Cuddalore,101456,83929,,,,,,,,,,,,,DMK
57,Palacode,GEN,Dharmapuri,81970,110070,,,,,,,,,,,,,AIADMK
58,Pennagaram,GEN,Dharmapuri,84937,,,106123,,,,,,,,,,,
59,Dharmapuri,GEN,Dharmapuri,78770,,,105630,,,,,,,,,,,
60,Pappireddipatti,GEN,Dharmapuri,77564,114507,,,,,,,,,,,,,
61,Harur,SC,Dharmapuri,,99061,,,,,,,,68699,,,,,
85,Mettur,GEN,Dharmapuri ,96399,,,97055,,,,,,,,,,,
127,Palani,GEN,Dindigul,108566,78510,,,,,,,,,,,,,DMK
128,Oddanchatram,GEN,Dindigul,109970,81228,,,,,,,,,,,,,DMK
129,Athoor,GEN,Dindigul,165809,,,30238,,,,,,,,,,,DMK
130,Nilakkottai,SC,Dindigul,63843,91461,,,,,,,,,,,,,
131,Natham,GEN,Dindigul,95830,107762,,,,,,,,,,,,,
132,Dindigul,GEN,Dindigul,,90595,,,,,,,,72848,,,,,
97,Kumarapalayam,GEN,Erode,69154,100800,,,,,,,,,,,,,AIADMK
98,Erode_(East),GEN,Erode,,43923,110156,,,,,,,,,,,,INC
99,Erode_(West),GEN,Erode,100757,78668,,,,,,,,,,,,,
100,Modakkurichi,GEN,Erode,77844,,,,,,,78125,,,,,,,
101,Dharapuram,SC,Erode,89986,,,,,,,88593,,,,,,,
102,Kangayam,GEN,Erode,94197,86866,,,,,,,,,,,,,
78,Rishivandiyam,GEN,Kallakurichi,113912,72184,,,,,,,,,,,,,
79,Sankarapuram,GEN,Kallakurichi,121186,,,75223,,,,,,,,,,,
80,Kallakurichi,SC,Kallakurichi,,110643,84752,,,,,,,,,,,,
81,Gangavalli,SC,Kallakurichi,82207,89568,,,,,,,,,,,,,
82,Attur,SC,Kallakurichi,87051,95308,,,,,,,,,,,,,
83,Yercaud,ST,Kallakurichi,95606,121561,,,,,,,,,,,,,AIADMK
32,Chengalpattu,GEN,Kancheepuram,130573,103908,,,,,,,,,,,,,
33,Thiruporur,GEN,Kancheepuram,,,,92007,93954,,,,,,,,,,
34,Cheyyur,SC,Kancheepuram,,78708,,,82750,,,,,,,,,,
35,Madurantakam,SC,Kancheepuram,83076,86646,,,,,,,,,,,,,
36,Uthiramerur,GEN,Kancheepuram,93427,91805,,,,,,,,,,,,,
37,Kancheepuram,GEN,Kancheepuram,102712,,,91117,,,,,,,,,,,
229,Kanniyakumari,GEN,Kanniyakumari,93532,109745,,,,,,,,,,,,,
230,Nagercoil,GEN,Kanniyakumari,77135,,,,,,,88804,,,,,,,
231,Colachal,GEN,Kanniyakumari,,,90681,,,18202,,65849,,,,,,,
232,Padmanabhapuram,GEN,Kanniyakumari,87744,60859,,,,,,,,,,,,,DMK
233,Vilavancode,GEN,Kanniyakumari,,,87473,,,,,58804,,,,,,,
234,Killiyoor,GEN,Kanniyakumari,,46141,101541,,,,,,,,,,,,INC
133,Vedasandur,GEN,Karur,106481,88928,,,,,,,,,,,,,DMK
134,Aravakurichi,GEN,Karur,93369,,,,,,,68553,,,,,,,DMK
135,Karur,GEN,Karur,101757,89309,,,,,,,,,,,,,
136,Krishnarayapuram,SC,Karur,96540,64915,,,,,,,,,,,,,DMK
138,Manapparai,GEN,Karur,98077,85834,,,,,,,,,,,,,
179,Viralimalai,GEN,Karur,78581,102179,,,,,,,,,,,,,
51,Uthangarai,SC,Krishnagiri,,99675,71288,,,,,,,,,,,,AIADMK
52,Bargur,GEN,Krishnagiri,97256,84642,,,,,,,,,,,,,
53,Krishnagiri,GEN,Krishnagiri,95256,96050,,,,,,,,,,,,,
54,Veppanahalli,GEN,Krishnagiri,91050,94104,,,,,,,,,,,,,
55,Hosur,GEN,Krishnagiri,118231,105864,,,,,,,,,,,,,
56,Thalli,GEN,Krishnagiri,,,,,,,,64415,120641,,,,,,CPI
188,Melur,GEN,Madurai,,83344,48182,,,,,,,,,34262,,,
189,Madurai_East,GEN,Madurai,122729,73125,,,,,,,,,,,,,DMK
191,Madurai_North,GEN,Madurai,73010,,,,,,,50094,,,,,,,
192,Madurai_South,GEN,Madurai,62812,56297,,,,,,,,,,,,,
193,Madurai_Central,GEN,Madurai,73205,39029,,,,,,,,,,,,,
194,Madurai_West,GEN,Madurai,74762,83883,,,,,,,,,,,,,
160,Sirkazhi,SC,Mayiladuthurai,94057,81909,,,,,,,,,,,,,
161,Mayiladuthurai,GEN,Mayiladuthurai,,,73642,70900,,,,,,,,,,,
162,Poompuhar,GEN,Mayiladuthurai,96102,92803,,,,,,,,,,,,,
170,Thiruvidaimarudur,SC,Mayiladuthurai,95763,85083,,,,,,,,,,,,,
171,Kumbakonam,GEN,Mayiladuthurai,96057,74674,,,,,,,,,,,,,
172,Papanasam,GEN,Mayiladuthurai,86567,70294,,,,,,,,,,19778,,,
163,Nagapattinam,GEN,Nagapattinam,,59043,,,66281,,,,,,,,,,
164,Kilvelur,SC,Nagapattinam,,,,51003,,15173,,,,67988,,,,,
165,Vedaranyam,GEN,Nagapattinam,66390,78719,,,,,,,,,,,,,AIADMK
166,Thiruthuraipoondi,SC,Nagapattinam,,67024,,,,,,,97092,,,,,,CPI
168,Thiruvarur,GEN,Nagapattinam,108906,57732,,,,26300,,,,,,,,,DMK
169,Nannilam,GEN,Nagapattinam,99213,103637,,,,,,,,,,,,,
87,Sankari,GEN,Namakkal,95427,115472,,,,,,,,,,,,,AIADMK
92,Rasipuram,SC,Namakkal,90727,88775,,,,,,,,,,,,,
93,Senthamangalam,ST,Namakkal,90681,80188,,,,,,,,,,,,,
94,Namakkal,GEN,Namakkal,106494,78633,,,,,,,,,,,,,DMK
95,Paramathi-Velur,GEN,Namakkal,78372,86034,,,,,,,,,,,,,
96,Tiruchengodu,GEN,Namakkal,81688,78826,,,,,,,,,,,,,
107,Bhavanisagar,SC,Nilgiris,,99181,,,,,,,83173,,,,,,AIADMK
108,Udhagamandalam,GEN,Nilgiris,,,65530,,,,,60182,,,,,,,
109,Gudalur,SC,Nilgiris,62551,64496,,,,,,,,,,,,,
110,Coonoor,GEN,Nilgiris,61820,57715,,,,,,,,,,,,,
111,Mettuppalayam,GEN,Nilgiris,102775,105231,,,,,,,,,,,,,
112,Avanashi,SC,Nilgiris,66382,117284,,,,,,,,,,,,,AIADMK
137,Kulithalai,GEN,Perambalur,100829,77289,,,,,,,,,,,,,DMK
143,Lalgudi,GEN,Perambalur,84914,67965,,,,,,,,,,,,,
144,Manachanallur,GEN,Perambalur,116334,56716,,,,,,,,,,,,,DMK
145,Musiri,GEN,Perambalur,90624,63788,,,,,,,,,,,,,DMK
146,Thuraiyur,SC,Perambalur,87786,65715,,,,,,,,,,,,,DMK
147,Perambalur,SC,Perambalur,122090,91056,,,,,,,,,,,,,DMK
119,Thondamuthur,GEN,Pollachi,82595,124225,,,,,,,,,,,,,AIADMK
122,Kinathukadavu,GEN,Pollachi,100442,101537,,,,,,,,,,,,,
123,Pollachi,GEN,Pollachi,78842,80567,,,,,,,,,,,,,
124,Valparai,SC,Pollachi,,71672,,,,,,,59449,,,,,,
125,Udumalaipettai,GEN,Pollachi,,96893,74998,,,,,,,,,,,,
126,Madathukulam,GEN,Pollachi,77875,84313,,,,,,,,,,,,,
183,Aranthangi,GEN,Ramanathapuram,,50942,81835,,,18460,,,,,,,,,
208,Tiruchuli,GEN,Ramanathapuram,102225,41233,,,,,,,,,,,,,DMK
209,Paramakudi,SC,Ramanathapuram,84864,71579,,,,,,,,,,,,,
210,Tiruvadanai,GEN,Ramanathapuram,,65512,79364,,,,,,,,,33426,,,
211,Ramanathapuram,GEN,Ramanathapuram,111082,,,,,,,60603,,,,,,,DMK
