Index,Assembly_Seat,Seat_Type,Constituency_Name,INC,BRS,BJP,AIMIM,BSP,CPI,JnP,MBT,FBL,Independent,Strong_Party
1,Sirpur,GEN,Adilabad,,60614,63702,,44646,,,,,,
5,Asifabad,ST,Adilabad,60238,37989,,,,,,,,,
6,Khanapur,ST,Adilabad,58870,54168,52398,,,,,,,,
7,Adilabad,GEN,Adilabad,47724,60916,67608,,,,,,,,
8,Boath,ST,Adilabad,32797,76792,53992,,,,,,,,
9,Nirmal,GEN,Adilabad,28642,55697,106400,,,,,,,,
10,Mudhole,GEN,Adilabad,,74253,98252,,,,,,,,
48,Ibrahimpatnam,GEN,Bhongir,126506,89806,,,,,,,,,INC
93,Munugode,GEN,Bhongir,119624,79034,,,,,,,,,INC
94,Bhongir,GEN,Bhongir,102742,76541,,,,,,,,,INC
95,Nakrekal,SC,Bhongir,133540,64701,,,,,,,,,INC
96,Thungathurthi,SC,Bhongir,129535,78441,,,,,,,,,INC
97,Alair,GEN,Bhongir,122140,72504,,,,,,,,,INC
98,Jangoan,GEN,Bhongir,83192,98975,,,,,,,,,
50,Maheswaram,GEN,Chevella,70657,125578,99391,,,,,,,,
51,Rajendranagar,GEN,Chevella,82057,121734,89638,,,,,,,,
52,Serilingampally,GEN,Chevella,110780,157332,80148,,,,,,,,
53,Chevella,SC,Chevella,75950,76218,38455,,,,,,,,
54,Pargi,GEN,Chevella,98536,74523,,,,,,,,,
55,Vicarabad,SC,Chevella,86885,73992,,,,,,,,,
56,Tandur,GEN,Chevella,84662,78079,,,,,,,,,
58,Malakpet,GEN,Hyderabad,29699,,23731,55805,,,,,,,
64,Karwan,GEN,Hyderabad,18160,29194,41402,83388,,,,,,,
65,Goshamahal,GEN,Hyderabad,,58725,80182,,,,,,,,BJP
66,Charminar,GEN,Hyderabad,10899,,26250,49103,,,,,,,AIMIM
67,Chandrayangutta,GEN,Hyderabad,,18116,16414,99776,,,,,,,AIMIM
68,Yakutpura,GEN,Hyderabad,,15516,22354,46153,,,,45275,,,
69,Bahadurpura,GEN,Hyderabad,14448,22426,,89451,,,,,,,AIMIM
26,Karimnagar,GEN,Karimnagar,40057,92179,89016,,,,,,,,
27,Choppadandi,SC,Karimnagar,90395,52956,26669,,,,,,,,
28,Vemulawada,GEN,Karimnagar,71451,56870,29710,,,,,,,,
29,Sircilla,GEN,Karimnagar,59557,89244,,,,,,,,,
30,Manakondur,SC,Karimnagar,96773,64408,,,,,,,,,
31,Huzurabad,GEN,Karimnagar,53164,80333,63460,,,,,,,,
32,Husnabad,GEN,Karimnagar,100955,81611,,,,,,,,,
112,Khammam,GEN,Khammam,136016,86635,,,,,,,,,INC
113,Palair,GEN,Khammam,127820,71170,,,,,,,,,INC
114,Madhira,SC,Khammam,108970,73518,,,,,,,,,INC
115,Wyra,ST,Khammam,93913,60868,,,,,,,,,INC
116,Sathupalle,SC,Khammam,111245,91805,,,,,,,,,INC
117,Kothagudem,GEN,Khammam,,37555,,,,80336,,,53789,,
118,Aswaraopeta,ST,Khammam,74993,46088,,,,,,,,,INC
101,Dornakal,ST,Mahabubabad,115587,62456,,,,,,,,,INC
102,Mahabubabad,ST,Mahabubabad,116644,66473,,,,,,,,,INC
103,Narsampet,GEN,Mahabubabad,104185,85296,,,,,,,,,INC
109,Mulug,ST,Mahabubabad,102267,68567,,,,,,,,,INC
110,Pinapaka,ST,Mahabubabad,90510,56004,,,,,,,,,
111,Yellandu,ST,Mahabubabad,109171,51862,,,,,,,,,INC
119,Bhadrachalam,ST,Mahabubabad,47533,53252,,,,,,,,,
72,Kodangal,GEN,Mahbubnagar,107429,74897,,,,,,,,,INC
73,Narayanpet,GEN,Mahbubnagar,84708,76757,,,,,,,,,
74,Mahbubnagar,GEN,Mahbubnagar,87227,68489,19919,,,,,,,,
75,Jadcherla,GEN,Mahbubnagar,90865,75694,,,,,,,,,INC
76,Devarkadra,GEN,Mahbubnagar,88551,87159,,,,,,,,,
77,Makthal,GEN,Mahbubnagar,74917,57392,45455,,,,,,,,
84,Shadnagar,GEN,Mahbubnagar,77817,70689,,,,,,,31651,,
43,Medchal,GEN,Malkajgiri,152598,186017,50535,,,,,,,,
44,Malkajgiri,GEN,Malkajgiri,75519,125049,55427,,,,,,,,
45,Quthbullapur,GEN,Malkajgiri,101554,187999,102423,,,,,,,,
46,Kukatpalle,GEN,Malkajgiri,65248,135635,,,,,39830,,,,
47,Uppal,GEN,Malkajgiri,83897,132927,47332,,,,,,,,
49,Lal Bahadur Nagar,GEN,Malkajgiri,83273,111380,89075,,,,,,,,
71,Secunderabad_Cantt,SC,Malkajgiri,20825,59057,41888,,,,,,,,
33,Siddipet,GEN,Medak,23206,105514,23201,,,,,,,,BHRS
34,Medak,GEN,Medak,87126,76969,,,,,,,,,
37,Narsapur,GEN,Medak,79555,88410,22865,,,,,,,,
39,Sangareddy,GEN,Medak,74895,83112,20921,,,,,,,,
40,Patancheru,GEN,Medak,98296,105387,,,46162,,,,,,
41,Dubbak,GEN,Medak,25235,97879,44366,,,,,,,,BHRS
42,Gajwel,GEN,Medak,32568,111684,66653,,,,,,,,
78,Wanaparthy,GEN,Nagarkurnool,107115,81795,,,,,,,,,INC
79,Gadwal,GEN,Nagarkurnool,87061,94097,,,,,,,,,
80,Alampur,SC,Nagarkurnool,73487,104060,,,,,,,,,BHRS
81,Nagarkurnool,GEN,Nagarkurnool,87161,81913,,,,,,,,,
82,Achampet,SC,Nagarkurnool,115337,66011,,,,,,,,,INC
83,Kalwakurthy,GEN,Nagarkurnool,75858,42847,70448,,,,,,,,
85,Kollapur,GEN,Nagarkurnool,93609,63678,20389,,,,,,,,
86,Devarakonda,ST,Nalgonda,111344,81323,,,,,,,,,INC
87,Nagarjuna Sagar,GEN,Nalgonda,119831,63982,,,,,,,,,INC
88,Miryalaguda,GEN,Nalgonda,114462,65680,,,,,,,,,INC
89,Huzurnagar,GEN,Nalgonda,116707,71819,,,,,,,,,INC
90,Kodad,GEN,Nalgonda,125783,67611,,,,,,,,,INC
91,Suryapet,GEN,Nalgonda,70537,75143,40407,,,,,,,,
92,Nalgonda,GEN,Nalgonda,107405,53073,,,,,,,27096,,INC
11,Armur,GEN,Nizamabad,42989,39395,72658,,,,,,,,
12,Bodhan,GEN,Nizamabad,66963,63901,33555,,,,,,,,
17,Nizamabad_(Urban),GEN,Nizamabad,59853,44829,75240,,,,,,,,
18,Nizamabad_(Rural),GEN,Nizamabad,78378,56415,49723,,,,,,,,
19,Balkonda,GEN,Nizamabad,65884,70417,30250,,,,,,,,
20,Koratla,GEN,Nizamabad,39647,72115,61810,,,,,,,,
21,Jagtial,GEN,Nizamabad,54421,70243,42138,,,,,,,,
2,Chennur,SC,Peddapalli,87541,50026,,,,,,,,,INC
3,Bellampalli,SC,Peddapalli,82217,45339,,,,,,,,,INC
4,Mancherial,GEN,Peddapalli,105945,37989,39829,,,,,,,,INC
22,Dharmapuri,SC,Peddapalli,91393,69354,,,,,,,,,INC
23,Ramagundam,GEN,Peddapalli,92227,35433,,,,,,,,,INC
24,Manthani,GEN,Peddapalli,103822,72442,,,,,,,,,INC
25,Peddapalle,GEN,Peddapalli,118888,63780,,,,,,,,,INC
57,Musheerabad,GEN,Secunderabad,37410,75207,35423,,,,,,,,
59,Amberpet ,GEN,Secunderabad,18004,74416,49879,,,,,,,,BHRS
60,Khairatabad ,GEN,Secunderabad,45358,67368,38094,,,,,,,,
61,Jubilee_Hills,GEN,Secunderabad,64212,80549,25866,,,,,,,,
62,Sanathnagar,GEN,Secunderabad,22492,72557,30730,,,,,,,,BHRS
63,Nampally,GEN,Secunderabad,60148,15420,,62185,,,,,,,
70,Secunderabad,GEN,Secunderabad,32983,78223,25202,,,,,,,,BHRS
99,Ghanpur_(Station),SC,Warangal,93917,101696,,,,,,,,,
100,Palakurthi,GEN,Warangal,126848,79214,,,,,,,,,INC
104,Parkal,GEN,Warangal,72573,64632,38735,,,,,,,,
105,Warangal_West,GEN,Warangal,72649,57318,30826,,,,,,,,
106,Warangal_East,GEN,Warangal,67757,42783,52105,,,,,,,,
107,Waradhanapet,SC,Warangal,106696,87238,,,,,,,,,
108,Bhupalpalle,GEN,Warangal,123116,70417,,,,,,,,,INC
13,Jukkal,SC,Zahirabad,64489,63337,28437,,,,,,,,
14,Banswada,GEN,Zahirabad,52814,76278,23685,,,,,,,,
15,Yellareddy,GEN,Zahirabad,86989,62988,27000,,,,,,,,
16,Kamareddy,GEN,Zahirabad,54916,59911,66652,,,,,,,,
35,Narayankhed,GEN,Zahirabad,91373,84826,,,,,,,,,
36,Andole,SC,Zahirabad,114147,85954,,,,,,,,,INC
38,Zahirabad,SC,Zahirabad,84415,97205,,,,,,,,,
