Index,Assembly_Seat,Seat_Type,Constituency_Name,INC,SP,BSP,AD(K),AD,NCP,RLD,SBSP,NINSHAD,JDL,AAP,AIMIM,VIP,PMSP,JANADIP,Independent,Strong_Party,BJP
86,Etmadpur,GEN,Agra,,48642,98679,,,,,,,,,,,,,,,146603
87,Agra Cantt,SC,Agra,,69099,54409,,,,,,,,,,,,,,,117796
88,Agra South,GEN,Agra,,52622,38219,,,,,,,,,,,,,,,109262
89,Agra North,GEN,Agra,,34403,41447,,,,,,,,,,,,,,BJP,153817
106,Jalesar,SC,Agra,,86898,,,,,,,,,,,,,,,,91339
206,Akbarpur Raniya,GEN,Akbarpur,,79410,32233,,,,,,,,,,,,,,,92827
210,Bithoor,GEN,Akbarpur,,86257,36955,,,,,,,,,,,,,,,107330
211,Kalyanpur,GEN,Akbarpur,,77462,,,,,,,,,,,,,,,BJP,98997
217,Maharajpur,GEN,Akbarpur,,70622,,,,,,,,,,,,,,,BJP,152883
218,Ghatampur,SC,Akbarpur,,67253,32472,,81727,,,,,,,,,,,,,
71,Khair,SC,Aligarh,,,65302,,,,41644,,,,,,,,,,BJP,139643
72,Barauli,GEN,Aligarh,,,57339,,,,32781,,,,,,,,,,BJP,147984
73,Atrauli,GEN,Aligarh,,86367,,,,,,,,,,,,,,,BJP,125691
75,Koil,GEN,Aligarh,,103039,,,,,,,,,,,,,,,,"108067	"
76,Aligarh,GEN,Aligarh,,107603,,,,,,,,,,,,,,,,120389
276,Goshainganj,GEN,Ambedkar Nagar,,105863,37271,,,,,,,,,,,,,,,105863
277,Katehari,GEN,Ambedkar Nagar,,93524,58482,,,85828,,,,,,,,,,,,
278,Tanda,GEN,Ambedkar Nagar,,95263,45222,,,,,,,,,,,,,,,63166
280,Jalalpur,GEN,Ambedkar Nagar,,93668,80038,,,,,,,,,,,,,,,71236
281,Akbarpur,GEN,Ambedkar Nagar,,81931,53398,,,,,,,,,,,,,,,69595
178,Tiloi,GEN,Amethi,21978,71643,,,,,,,,,,,,,,,,99472
181,Salon,SC,Amethi,,85604,,,,,,,,,,,,,,,,87715
184,Jagdishpur,SC,Amethi,66491,27971,,,,,,,,,,,,,,,,89315
185,Gauriganj,GEN,Amethi,28964,79040,,,,,,,,,,,,,,,,72077
186,Amethi,GEN,Amethi,,88217,,,,,,,,,,,,,,,,70121
39,Dhanaura,SC,Amroha,,91629,43974,,,,,,,,,,,,,,,103054
