Index,Assembly_Seat,Seat_Type,Constituency_Name,TMC,BJP,INC,CPI,CPM,FBL,RCP,RSMPA,Independent,Strong_Party
9,Tufanganj,GEN,Alipurduars,83305,114503,,,,,,,,
10,Kumargram,ST,Alipurduars,100973,111974,,,,,,,,
11,Kalchini,ST,Alipurduars,74528,103104,,,,,,,,
12,Alipurduars,GEN,Alipurduars,91326,107333,,,,,,,,
13,Falakata,SC,Alipurduars,99003,102993,,,,,,,,
14,Madarihat,ST,Alipurduars,61033,90718,,,,,,,,
21,Nagrakata,ST,Alipurduars,71247,94722,,,,,,,,
196,Haripal,GEN,Arambagh,110215,87143,,,,,,,,
198,Tarakeswar,GEN,Arambagh,97588,88461,,,14396,,,,,
199,Pursurah,GEN,Arambagh,91156,119334,7828,,,,,,,
200,Arambag,SC,Arambagh,103108,95936,,,14965,,,,,
201,Goghat,SC,Arambagh,98080,102227,,,,,,,,
202,Khanakul,GEN,Arambagh,94519,107403,,,,,,,,
232,Chandrakona,SC,Arambagh,121846,110565,,,,,,,,
275,Pandabeswar,GEN,Asansol,73922,70119,,,,,,,,
278,Raniganj,GEN,Asansol,78164,74608,,,21688,,,,,
279,Jamuria,GEN,Asansol,71002,62951,,,24818,,,,,
280,Asnsol Dakshin,GEN,Asansol,83394,87881,,,,,,,,
281,Asansol Uttar,GEN,Asansol,100931,79821,,,,,,,,
282,Kulti,GEN,Asansol,80433,81112,,,,,,,,
283,Barabani,GEN,Asansol,88430,64973,,,,,,,,
67,Burwan,SC,Baharampur,81890,79141,,,,,,,,
68,Kandi,GEN,Baharampur,95399,57319,27555,,,,,,,
69,Bharatpur,GEN,Baharampur,96226,53143,30116,,,,,,,
70,Rejinagar,GEN,Baharampur,118494,50226,37282,,,,,,,
71,Beldanga,GEN,Baharampur,112862,59030,26949,,,,,,,
72,Baharampur,GEN,Baharampur,62488,89340,40167,,,,,,,
74,Naoda,GEN,Baharampur,117684,43531,31588,,,,,,,
36,Itahar,GEN,Balurghat,114645,70670,,,,,,,,
37,Kushmandi,SC,Balurghat,89968,77384,,,,,,,,
38,Kumarganj,GEN,Balurghat,89763,60396,17478,,,,,,,
39,Balurghat,GEN,Balurghat,58693,72129,,,,,16153,,,
40,Tapan,ST,Balurghat,82731,84381,,,,,,,,
41,Gangarampur,SC,Balurghat,84132,88724,,,,,,,,
42,Harirampur,GEN,Balurghat,96131,73459,,,,,,,,
92,Kalyani,SC,Bangaon,94820,97026,,,22165,,,,,
93,Haringhata,SC,Bangaon,82466,97666,,,24800,,,,,
94,Bagda,SC,Bangaon,98319,108111,,,,,,,,
95,Bangaon Uttar,SC,Bangaon,87273,97761,,,,,,,,
96,Bangaon Dakshin,SC,Bangaon,95824,97828,,,,,,,,
97,Gaighata,SC,Bangaon,91230,100808,,,,,,,,
98,Swarupnagar,SC,Bangaon,99784,64984,,,43282,,,,,
246,Raghunathpur,SC,Bankura,90332,95770,,,,,,,,
247,Saltora,SC,Bankura,87503,91648,,,,,,,,
248,Chhatna,GEN,Bankura,83069,90233,,,,,,,,
249,Ranibandh,ST,Bankura,90928,86989,,,,,,,,
250,Raipur,ST,Bankura,101043,81645,,,,,,,,
251,Taldangra,GEN,Bankura,92026,79649,,,23189,,,,,
252,Bankura,GEN,Bankura,93998,95466,,,,,,,,
100,Habra,GEN,Barasat,90533,86692,,,21994,,,,,
101,Ashoknagar,GEN,Barasat,93587,70055,,,,,,45795,,
115,Rajarhat New Town,GEN,Barasat,127374,70942,,,31543,,,,,
116,Bidhannagar,GEN,Barasat,75912,67915,,,,,,,,
118,Madhyamgram,GEN,Barasat,112741,64615,,,,,,46748,,
119,Barasat,GEN,Barasat,104431,80648,,,,34171,,,,
120,Deganga,GEN,Barasat,100105,38446,,,,,,67568,,
261,Raina,SC,Bardhaman Purba,108752,90547,,,25332,,,,,
262,Jamalpur,SC,Bardhaman Purba,96999,79028,,,23298,,,,,
264,Kalna,SC,Bardhaman Purba,96073,88595,,,,,,,,
265,Memari,GEN,Bardhaman Purba,104851,81773,,,25618,,,,,
268,Purbasthali Dakshin,GEN,Bardhaman Purba,105698,88288,,,,,,,,
269,Purbasthali Uttar,GEN,Bardhaman Purba,92421,85715,,,28134,,,,,
270,Katwa,GEN,Bardhaman Purba,107894,98739,,,,,,,,
260,Burdwan Dakshin,GEN,Bardhaman–Durgapur,91015,82910,,,23346,,,,,
263,Monteswar,GEN,Bardhaman–Durgapur,105460,73655,,,24740,,,,,
266,Burdwan Uttar,SC,Bardhaman–Durgapur,111211,93943,,,31028,,,,,
267,Bhatar,GEN,Bardhaman–Durgapur,108028,76287,,,,,,,,
274,Galsi,SC,Bardhaman–Durgapur,109504,90242,,,,,,,,
276,Durgapur Purba,GEN,Bardhaman–Durgapur,79303,75557,,,29063,,,,,
277,Durgapur Paschim,GEN,Bardhaman–Durgapur,76522,91186,,,,,,,,
102,Amdanga,GEN,Barrackpore,88935,63455,,,,,,50905,,
103,Bijpur,GEN,Barrackpore,66625,53278,,,14490,,,,,
104,Naihati,GEN,Barrackpore,77753,58898,,,15825,,,,,
105,Bhatpara,GEN,Barrackpore,43557,57244,,,,,,,,
106,Jagatdal,GEN,Barrackpore,87030,68666,,,,,,,,
107,Noapara,GEN,Barrackpore,94203,67493,23502,,,,,,,
108,Barrackpur,GEN,Barrackpore,68887,59665,,,16145,,,,,
99,Baduria,GEN,Basirhat,109701,53257,45231,,,,,,,
121,Haroa,GEN,Basirhat,130398,38506,,,,,,49420,,
122,Minakhan,SC,Basirhat,109818,53988,,,44606,,,,,
123,Sandeshkhali,ST,Basirhat,112450,72765,,,,,,,,
124,Basirhat Dakshin,GEN,Basirhat,115873,91405,,,,,,,,
125,Basirhat Uttar,GEN,Basirhat,137216,47505,,,,,,47865,,
126,Hingalganj,SC,Basirhat,104706,79790,,,,,,,,
284,Dubrajpur,SC,Birbhum,94220,98083,,,,,,,,
285,Suri,GEN,Birbhum,105871,98551,,,,,,,,
289,Sainthia,SC,Birbhum,110572,95329,,,,,,,,
291,Rampurhat,GEN,Birbhum,103276,94804,,,,,,,,
292,Hansan,GEN,Birbhum,108289,57676,39815,,,,,,,
293,Nalhati,GEN,Birbhum,117438,60533,,,,21328,,,,
294,Murarai,GEN,Birbhum,146496,48250,,,,,,,,
253,Barjora,GEN,Bishnupur,93290,90021,,,25235,,,,,
254,Onda,GEN,Bishnupur,93389,104940,,,,,,,,
255,Bishnupur,SC,Bishnupur,78269,89689,,,,,,,,
256,Katulpur,SC,Bishnupur,94237,106022,,,,,,,,
257,Indus,SC,Bishnupur,97716,104936,,,,,,,,
258,Sonamukhi,SC,Bishnupur,87273,98161,,,,,,,,
259,Khandaghosh,SC,Bishnupur,104264,83378,,,22923,,,,,
271,Ketugram,GEN,Bolpur,100226,87543,,,,,,,,
272,Mongalkote,GEN,Bolpur,107596,85259,,,,,,,,
273,Ausgram,SC,Bolpur,100392,88577,,,,,,,,
286,Bolpur,GEN,Bolpur,116443,94163,,,,,,,,
287,Nanoor,SC,Bolpur,112116,105446,,,,,,,,
288,Labhpur,GEN,Bolpur,108423,90448,,,,,,,,
290,Mayureswar,GEN,Bolpur,100425,88350,,,,,,,,
2,Mathabhanga,SC,Cooch Behar,87115,113249,,,,,,,,
3,Coochbehar Uttar,SC,Cooch Behar,105868,120483,,,,,,,,
4,Cooch Behar Dakshin,GEN,Cooch Behar,86629,91560,,,,,,,,
5,Sitalkuchi,SC,Cooch Behar,107140,124955,,,,,,,,
6,Sitai,SC,Cooch Behar,117908,107796,,,,,,,,
7,Dinhata,GEN,Cooch Behar,115978,116035,,,,,,,,
8,Natabari,GEN,Cooch Behar,88303,111743,,,,,,,,
22,Kalimpong,GEN,Darjeeling,,54336,,,,,,,58206,
23,Darjeeling,GEN,Darjeeling,,68907,,,,,,,47631,
24,Kurseong,GEN,Darjeeling,,73475,,,,,,,57960,
25,Matigara-Naxalbari,SC,Darjeeling,68937,139785,,,,,,,,
26,Siliguri,GEN,Darjeeling,53784,89370,,,28835,,,,,
27,Phansidewa,ST,Darjeeling,77940,105651,,,,,,,,
28,Chopra,GEN,Darjeeling,124923,60018,,,,,,,,
143,Diamond Harbour,GEN,Diamond Harbour,98478,81482,,,38719,,,,,
144,Falta,GEN,Diamond Harbour,117179,76405,,,,,,,,
145,Satgachhia,GEN,Diamond Harbour,118635,95317,,,,,,,,
146,Bishnupur,SC,Diamond Harbour,78269,89689,,,,,,,,
155,Maheshtala,GEN,Diamond Harbour,124008,66059,,,25276,,,,,
156,Budge Budge,GEN,Diamond Harbour,122357,77643,,,,,,,,
157,Metiaburuz,GEN,Diamond Harbour,151066,31462,,,,,,,,
109,Khardaha,GEN,Dum Dum,89807,61667,,,26916,,,,,
110,Dum Dum Uttar,GEN,Dum Dum,95465,66966,,,45728,,,,,
111,Panihati,GEN,Dum Dum,86495,61318,21169,,,,,,,
112,Kamarhati,GEN,Dum Dum,73845,38437,,,28310,,,,,
113,Baranagar,GEN,Dum Dum,85615,50468,20135,,,,,,,
114,Dum Dum,GEN,Dum Dum,87999,61268,,,30653,,,,,
117,Rajarhat Gopalpur,GEN,Dum Dum,87650,62354,,,24511,,,,,
205,Panskura Paschim,GEN,Ghatal,111705,102186,,,15124,,,,,
226,Sabang,GEN,Ghatal,112098,102234,,,17443,,,,,
227,Pingla,GEN,Ghatal,112435,105779,7103,,,,,,,
229,Debra,GEN,Ghatal,95850,84624,,,20273,,,,,
230,Daspur,GEN,Ghatal,114758,87911,,,17045,,,,,
231,Ghatal,SC,Ghatal,104846,105812,,,10165,,,,,
