Seat_Name,BJP,INC,JDS,Others
Chikoli,3,5,,
Belgaum,3,5,,
Bagalkot ,3,5,,
Bijapur,1,6,1,
Gulbarga ,1,6,1,
Raichur,2,5,1,
Bidar,5,3,,
Koppal ,1,6,,1
Bellary ,1,6,1,
Haveri,1,7,,
Dharwad,4,4,,
Uttara Kannada,3,5,,
Davanagere,1,6,,1
Shimoga,4,3,1,
Udupi Chikmagalur,4,4,,
Hassan,2,2,4,
Dakshina Kannada,6,2,,
Chitradurga,1,7,,
Tumkur,2,4,2,
Mandya,0,6,1,1
Mysore,1,5,2,
Chamarajanagar ,0,7,1,
Bangalore Rural,2,5,1,
Bangalore North,5,3,0,
Bangalore Central ,3,5,0,
Bangalore South ,5,3,,
Chikballapur ,2,5,,1
Kolar ,,5,3,
