State,BJP,INC,JDS,AAP,TDP,YSRCP,SAD,BRS,AIUDF,DMK,AIADMK,CPI,CPM,BJD,JMM,JDU,RJD,LJP,HAM,SP,TMC,JJP,CPM,BSP,Shivsena,UBT,NCP,Sharad_Pawar,NC,TMP,NDPP,SKM,RLD,SBSP,AD
Karnataka,-15,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya_Pradesh,-10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,-15,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,-5.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,-19.2,-7.52,0,15.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,-18.11,-14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,-10.05,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,-3.06,-2.93,,17.02,,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra_Pradesh,1.53,0.94,,,0.51,-2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,-7.09,-0.8,,,,,,-4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,-3.28,-4.62,,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil_Nadu,-1.17,-6.22,,,,,,,,4.18,13.9,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,-2.24,0.81,,,,,,,,,,1.84,-0.04,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,-19.75,-1.55,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,
Uttarakhand,-0.5,-3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal_Pradesh,-22.4,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,-24,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal_Pradesh,3.1,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,-17.46,11.75,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,-0.4,0.5,,,,,,,,,,,,,,-4.5,4,,,,,,,,,,,,,,,,,,
Andaman_and_Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra_and_Nagar_Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,-0.14,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West_Bengal,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar_Pradesh,-0.25,,,,,,,,,,,,,,,,,,,5.33,,,,5,,,,,,,,,,,
Jammu_and_kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman_and_Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
