,Constituency_Name,Seat_Type,BJP,INC,AIUDF,Asom_Gana_Parisad,Independent,Bodoland_Peoples_Front,United_Peoples_Party_Liberal,Strong_Party
0,autonomous_district,st,381316,141690,0,0,0,0,0,BJP
1,barpeta,gen,504866,645173,248667,0,0,0,0,INC
2,dhubri,gen,0,492506,718764,399733,0,0,0,AIUDF
3,dibrugarh,gen,659583,295017,0,0,0,0,0,BJP
4,gauhati,gen,1008936,663330,0,0,0,0,0,BJP
5,jorhat,gen,543288,460635,0,0,0,0,0,BJP
6,kaliabor,gen,0,786092,0,576098,0,0,0,INC
7,karimganj,sc,473046,120452,434657,0,0,0,0,BJP
8,kokrajhar,st,0,0,0,0,484560,446774,312435,0
9,lakhimpur,gen,776406,425855,0,0,0,0,0,BJP
10,mangaldoi,gen,735469,596924,0,0,0,0,0,BJP
11,nowgong,gen,722972,739724,0,0,0,0,0,INC
12,silchar,gen,499414,417818,0,0,0,0,0,BJP
13,tezpur,gen,684166,441325,0,0,0,0,0,BJP
