,Constituency_Name,Seat_Type,BJP,INC,JDU,LJP,RJD,CPM,HAM,CPI,Rashtriya_Lok_Samta_Party,Vikassheel_Insaan_Party,All_India_Majlis-E-Ittehadul_Muslimeen,Independent,Strong_Party
0,araria,gen,618434,0,0,0,481193,0,0,0,0,0,0,0,BJP
1,arrah,gen,566480,0,0,0,0,419195,0,0,0,0,0,0,BJP
2,aurangabad,gen,431541,0,0,0,0,0,358934,0,0,0,0,0,BJP
3,banka,gen,0,0,477788,0,277256,0,0,0,0,0,0,103729,JDU
4,begusarai,gen,692193,0,0,0,198233,0,0,269976,0,0,0,0,BJP
5,bhagalpur,gen,0,0,618254,0,340624,0,0,0,0,0,0,0,JDU
6,buxar,gen,473053,0,0,0,355444,0,0,0,0,0,0,0,BJP
7,darbhanga,gen,586668,0,0,0,318689,0,0,0,0,0,0,0,BJP
8,gaya,sc,0,0,467007,0,0,0,314581,0,0,0,0,0,JDU
9,gopalganj,sc,0,0,568150,0,281716,0,0,0,0,0,0,0,JDU
10,hajipur,sc,0,0,0,541310,335861,0,0,0,0,0,0,0,lok_jan_shakti_party
11,jahanabad,gen,0,0,335584,0,333833,0,0,0,0,0,0,0,JDU
12,jamui,sc,0,0,0,529134,0,0,0,0,288085,0,0,0,lok_jan_shakti_party
13,jhanjharpur,gen,0,0,602391,0,279440,0,0,0,0,0,0,0,JDU
14,karakat,gen,0,0,398408,0,0,0,0,0,313866,0,0,0,JDU
15,katihar,gen,0,502220,559423,0,0,0,0,0,0,0,0,0,JDU
16,khagaria,gen,0,0,0,510193,0,0,0,0,0,261623,0,0,lok_jan_shakti_party
17,kishanganj,gen,0,367017,332551,0,0,0,0,0,0,0,295029,0,INC
18,madhepura,gen,0,0,624334,0,322807,0,0,0,0,0,0,0,JDU
19,madhubani,gen,595843,0,0,0,0,0,0,0,0,140903,0,131530,BJP
20,maharajganj,gen,546352,0,0,0,315580,0,0,0,0,0,0,0,BJP
21,munger,gen,0,360825,528762,0,0,0,0,0,0,0,0,0,JDU
22,muzaffarpur,gen,666878,0,0,0,0,0,0,0,0,256890,0,0,BJP
23,nalanda,gen,0,0,540888,0,0,0,284751,0,0,0,0,0,JDU
24,nawada,gen,0,0,0,495684,347612,0,0,0,0,0,0,0,lok_jan_shakti_party
25,paschim_champaran,gen,603706,0,0,0,0,0,0,0,309800,0,0,0,BJP
26,pataliputra,gen,509557,0,0,0,470236,0,0,0,0,0,0,0,BJP
27,patna_sahib,gen,607506,322849,0,0,0,0,0,0,0,0,0,0,BJP
28,purnia,gen,0,369463,632924,0,0,0,0,0,0,0,0,0,JDU
29,purvi_champaran,gen,577787,0,0,0,0,0,0,0,284139,0,0,0,BJP
30,samastipur,sc,0,310800,0,562443,0,0,0,0,0,0,0,0,lok_jan_shakti_party
31,saran,gen,499342,0,0,0,360913,0,0,0,0,0,0,0,BJP
32,sasaram,sc,494800,329055,0,0,0,0,0,0,0,0,0,0,BJP
33,sheohar,gen,608678,0,0,0,268318,0,0,0,0,0,0,0,BJP
34,sitamarhi,gen,0,0,567745,0,317206,0,0,0,0,0,0,0,JDU
35,siwan,gen,0,0,448473,0,331515,0,0,0,0,0,0,0,JDU
36,supaul,gen,0,330524,597377,0,0,0,0,0,0,0,0,0,JDU
37,ujiarpur,gen,543906,0,0,0,0,0,0,0,266628,0,0,0,BJP
38,vaishali,gen,0,0,0,568215,333631,0,0,0,0,0,0,0,lok_jan_shakti_party
39,valmiki_nagar,gen,0,248044,602660,0,0,0,0,0,0,0,0,0,JDU
