Index,Constituency_Name,Seat_Type,BJP,INC,JMM,AJSU,JVM,RJD,Strong_Party
0,chatra,gen,528077,150206,0,0,0,0,BJP
1,dhanbad,gen,827234,341040,0,0,0,0,BJP
2,dumka,st,484923,0,437333,0,0,0,BJP
3,giridih,gen,0,0,399930,648277,0,0,AJSU
4,godda,gen,637610,0,0,0,453383,0,BJP
5,hazaribagh,gen,728798,249250,0,0,0,0,BJP
6,jamshedpur,gen,679632,0,377542,0,0,0,BJP
7,khunti,st,382638,381193,0,0,0,0,BJP
8,kodarma,gen,753016,0,0,0,297416,0,BJP
9,lohardaga,st,371595,361232,0,0,0,0,BJP
10,palamau,sc,755659,0,0,0,0,278053,BJP
11,rajmahal,st,408635,0,507830,0,0,0,JMM
12,ranchi,gen,706828,423802,0,0,0,0,BJP
13,singhbhum,st,359660,431815,0,0,0,0,INC
