Index,Constituency_Name,Seat_Type,BJP,INC,JDS,Independent,Strong_Party
1,Bagalkot,GEN,664638,496451,,,BJP
2,Bangalore_Central,GEN,602853,531885,,,BJP
3,Bangalore_North,GEN,824500,676982,,,BJP
4,Bangalore_Rural,GEN,671388,878258,,,INC
5,Bangalore_South,GEN,739229,408037,,,BJP
6,Belgaum,GEN,761991,370687,,,BJP
7,Bellary,ST,616388,560681,,,BJP
8,Bidar,GEN,585471,468637,,,BJP
9,Bijapur,SC,635867,,377829,,BJP
10,Chamarajanagar,SC,568537,566720,,,BJP
11,Chikkballapur,GEN,745912,563802,,,BJP
12,Chikkodi,GEN,645017,526140,,,BJP
13,Chitradurga,SC,626195,546017,,,BJP
14,Dakshina_Kanna,GEN,774285,499664,,,BJP
15,Davanagere,GEN,652996,483294,,,BJP
16,Dharwad,GEN,684837,479765,,,BJP
17,Gulbarga,SC,620192,524740,,,BJP
18,Hassan,GEN,535282,,676606,,JDS
19,Haveri,GEN,683660,542778,,,BJP
20,Kolar,SC,709165,499144,,,BJP
21,Koppal,GEN,586783,548386,,,BJP
22,Mandya,GEN,,,577784,703660,Independent
23,Mysore,GEN,688974,550327,,,BJP
24,Raichur,ST,598337,480621,,,BJP
25,Shimoga,GEN,729872,,506512,,BJP
26,Tumkur,GEN,596127,,582788,,BJP
27,Udupi_Chikmaga,GEN,718916,,369317,,BJP
28,Uttara_Kannada,GEN,786042,,306393,,BJP
