,Constituency_Name,Seat_Type,BJP,INC,BSP,Strong_Party
0,balaghat,gen,696102,454036,0,BJP
1,betul,st,811248,451007,0,BJP
2,bhind,sc,527694,327809,0,BJP
3,bhopal,gen,866482,501660,0,BJP
4,chhindwara,gen,549769,587305,0,INC
5,damoh,gen,704524,351113,0,BJP
6,dewas,sc,862429,490180,0,BJP
7,dhar,st,722147,566118,0,BJP
8,guna,gen,614049,488500,0,BJP
9,gwalior,gen,627250,480408,0,BJP
10,hoshangabad,gen,877927,324245,0,BJP
11,indore,gen,1068569,520815,0,BJP
12,jabalpur,gen,826454,371710,0,BJP
13,khajuraho,gen,811135,318753,0,BJP
14,khandwa,gen,838909,565566,0,BJP
15,khargone,st,773550,571040,0,BJP
16,mandla,st,737266,639592,0,BJP
17,mandsour,gen,847786,471052,0,BJP
18,morena,gen,541689,428348,129380,BJP
19,rajgarh,gen,823824,392805,0,BJP
20,ratlam,st,696103,605467,0,BJP
21,rewa,gen,583745,270938,0,BJP
22,sagar,gen,646231,340689,0,BJP
23,satna,gen,588753,357280,109961,BJP
24,shahdol,st,747977,344644,0,BJP
25,sidhi,gen,698342,411818,0,BJP
26,tikamgarh,sc,672248,324189,0,BJP
27,ujjain,sc,791663,426026,0,BJP
28,vidisha,gen,853022,349938,0,BJP
