,Constituency_Name,Seat_Type,VBA,All_India_Majlis-E-Ittehadul_Muslimeen,Communist_Party_Of_India_(Marxist),Swabhimani_Paksha,Bahujan_Vikas_Aaghadi,Maharashtra_Swabhimaan_Paksh,Independent,Strong_Party,,BJP,,INC,UBT,Shivsena,Sharad_Pawar,NCP
0,ahmadnagar,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,493262,,126955.8,147978.6,63419.4,207361.14,88869.06
1,akola,gen,278848,0,0,0,0,0,0,bharatiya_janta_party,,388110.8,,178059,116433.24,49899.96,53417.7,22893.3
2,amravati,sc,0,0,0,0,0,0,510947,0,,142198.8,,0,232258.04,99539.16,0,0
3,aurangabad,gen,0,389042,0,0,0,0,283798,all_india_majlis-e-ittehadul_muslimeen,,115365,,0,188429.5,80755.5,0,0
4,baramati,gen,0,0,0,0,0,0,0,nationalist_congress_party,,371658,,206014.2,111497.4,47784.6,336489.86,144209.94
5,beed,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,474722.5,,152942.1,142416.75,61035.75,249805.43,107059.47
6,bhandara_-_gon,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,455170.1,,135854.7,136551.03,58521.87,221896.01,95098.29
7,bhiwandi,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,366508.1,,257077.8,109952.43,47122.47,77123.34,33052.86
8,buldhana,gen,172627,0,0,0,0,0,0,shiv_sena,,156593.1,,116607,255768.73,109615.17,190458.1,81624.9
9,chandrapur,gen,112079,0,0,0,0,0,0,indian_national_congress,,360320.8,,391654.9,108096.24,46326.96,117496.47,50355.63
10,dhule,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,429473.1,,269003,128841.93,55217.97,80700.9,34586.1
11,dindori,st,0,0,109570,0,0,0,0,bharatiya_janta_party,,397229,,110607.3,119168.7,51072.3,180658.59,77425.11
12,gadchiroli-chi,st,111468,0,0,0,0,0,0,bharatiya_janta_party,,363977.6,,309709.4,109193.28,46797.12,92912.82,39819.78
13,hatkanangle,gen,123419,0,0,489737,0,0,0,shiv_sena,,175732.8,,0,287030.24,123012.96,0,0
14,hingoli,gen,174051,0,0,0,0,0,0,shiv_sena,,175893.6,,215919.2,287292.88,123125.52,64775.76,27761.04
15,jalgaon,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,499711.8,,90677.1,149913.54,64248.66,148105.93,63473.97
16,jalna,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,488613.3,,255642.8,146583.99,62821.71,76692.84,32868.36
17,kalyan,gen,0,0,0,0,0,0,0,shiv_sena,,167916.9,,64614,274264.27,117541.83,105536.2,45229.8
18,kolhapur,gen,0,0,0,0,0,0,0,shiv_sena,,224725.5,,143555.1,367051.65,157307.85,234473.33,100488.57
19,latur,sc,0,0,0,0,0,0,0,bharatiya_janta_party,,463046.5,,260668.8,138913.95,59534.55,78200.64,33514.56
20,madha,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,410419.8,,150165,123125.94,52768.26,245269.5,105115.5
21,maval,gen,0,0,0,0,0,0,0,shiv_sena,,216198.9,,151425,353124.87,151339.23,247327.5,105997.5
22,mumbai_north,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,494674.6,,169001.7,148402.38,63601.02,50700.51,21728.79
23,mumbai_north_central,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,340670.4,,249666.9,102201.12,43800.48,74900.07,32100.03
24,mumbai_north_east,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,360219.3,,86433.9,108065.79,46313.91,141175.37,60503.73
25,mumbai_north_west,gen,0,0,0,0,0,0,0,shiv_sena,,171018.9,,216814.5,279330.87,119713.23,65044.35,27876.15
26,mumbai_south,gen,0,0,0,0,0,0,0,shiv_sena,,126581.1,,225309,206749.13,88606.77,67592.7,28968.3
27,mumbai_south_central,gen,0,0,0,0,0,0,0,shiv_sena,,127473.9,,190941.8,208207.37,89231.73,57282.54,24549.66
28,nagpur,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,462154.7,,310948.4,138646.41,59419.89,93284.52,39979.08
29,nanded,gen,166196,0,0,0,0,0,0,bharatiya_janta_party,,340764.2,,312660.6,102229.26,43812.54,93798.18,40199.22
30,nandurbar,st,0,0,0,0,0,0,0,bharatiya_janta_party,,447395.2,,380454.9,134218.56,57522.24,114136.47,48915.63
31,nashik,gen,109981,0,0,0,0,0,134527,shiv_sena,,169079.7,,81418.5,276163.51,118355.79,132983.55,56992.95
32,osmanabad,gen,0,0,0,0,0,0,0,shiv_sena,,178992,,140722.2,292353.6,125294.4,229846.26,98505.54
33,palghar,st,0,0,0,0,491596,0,0,shiv_sena,,174143.7,,0,284434.71,121900.59,0,0
34,parbhani,gen,149946,0,0,0,0,0,0,shiv_sena,,161682.3,,149022.6,264081.09,113177.61,243403.58,104315.82
35,pune,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,442984.5,,215744.9,132895.35,56955.15,64723.47,27738.63
36,raigad,gen,0,0,0,0,0,0,0,nationalist_congress_party,,136659,,146090.4,223209.7,95661.3,238614.32,102263.28
37,ramtek,sc,0,0,0,0,0,0,0,shiv_sena,,179137.8,,329240.1,292591.74,125396.46,98772.03,42330.87
38,ratnagiri_-_si,gen,0,0,0,0,0,279700,0,shiv_sena,,137406.6,,0,224430.78,96184.62,0,0
39,raver,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,458770.2,,223652.8,137631.06,58984.74,67095.84,28755.36
40,sangli,gen,300234,0,0,344643,0,0,0,bharatiya_janta_party,,356296.5,,0,106888.95,45809.55,0,0
41,satara,gen,0,0,0,0,0,0,0,nationalist_congress_party,,135749.4,,405318.2,221724.02,95024.58,121595.46,52112.34
42,shirdi,sc,0,0,0,0,0,0,0,shiv_sena,,146046,,256637.5,238541.8,102232.2,76991.25,32996.25
43,shirur,gen,0,0,0,0,0,0,0,nationalist_congress_party,,173204.1,,190749,282900.03,121242.87,311556.7,133524.3
44,solapur,sc,170007,0,0,0,0,0,0,bharatiya_janta_party,,367489.5,,256463.9,110246.85,47248.65,76939.17,32973.93
45,thane,gen,0,0,0,0,0,0,0,shiv_sena,,222290.7,,98647.2,363074.81,155603.49,161123.76,69053.04
46,wardha,gen,0,0,0,0,0,0,0,bharatiya_janta_party,,404854.8,,273821.1,121456.44,52052.76,82146.33,35205.57
47,yavatmal-washi,gen,0,0,0,0,0,0,0,shiv_sena,,162629.4,,296911.3,265628.02,113840.58,89073.39,38174.31
