Index,Constituency_Name,Seat_Type,BJP,INC,BJD,JMM,Strong_Party
1,aska,gen,348042,0,552749,0,BJD
2,balasore,gen,483858,179403,470902,0,BJP
3,bargarh,gen,581245,0,517306,0,BJP
4,berhampur,gen,348999,142632,443843,0,BJD
5,bhadrak,sc,483502,207811,512305,0,BJD
6,bhubaneswar,gen,486991,0,463152,0,BJP
7,bolangir,gen,498086,271056,478570,0,BJP
8,cuttack,gen,403391,0,524592,0,BJD
9,dhenkanal,gen,487472,0,522884,0,BJD
10,jagatsinghpur,sc,348330,239684,619985,0,BJD
11,jajpur,sc,442327,0,544020,0,BJD
12,kalahandi,gen,433074,319202,406260,0,BJP
13,kandhamal,gen,312463,138993,461679,0,BJD
14,kendrapara,gen,476355,0,628939,0,BJP
15,keonjhar,st,460156,128716,526359,0,BJD
16,koraput,st,208398,371129,367516,0,INC
17,mayurbhanja,st,483812,0,458556,135552,BJP
18,nabarangpura,st,342839,350870,392504,0,BJD
19,puria,gen,526607,0,538321,0,BJD
20,sambalpura,gen,473770,135969,464608,0,BJP
21,sundargarha,st,500056,268218,276991,0,BJP
