Index,Constituency_Name,Seat_Type,BJP,INC,Rashtriya_Loktantrik_Party,Bhartiya_Tribal_Party,Strong_Party
4,ajmer,gen,815076,398652,0,0,BJP
3,alwar,gen,760201,430230,0,0,BJP
14,banswara,st,711709,406245,0,250761,BJP
13,barmer,gen,846526,522718,0,0,BJP
22,bharatpur,sc,707992,389593,0,0,BJP
23,bhilwara,gen,938160,326160,0,0,BJP
1,bikaner,sc,657743,393662,0,0,BJP
5,chittorgarh,gen,982942,406695,0,0,BJP
20,churu,gen,792999,458597,0,0,BJP
12,dausa,st,548733,470289,0,0,BJP
17,ganganagar,sc,897177,490199,0,0,BJP
21,jaipur,gen,924065,493439,0,0,BJP
6,jaipur_rural,gen,820132,426961,0,0,BJP
7,jalore,gen,772833,511723,0,0,BJP
9,jhalawar-baran,gen,887400,433472,0,0,BJP
16,jhunjhunu,gen,738163,435616,0,0,BJP
10,jodhpur,gen,788888,514448,0,0,BJP
15,karauli-dholpu,sc,526443,428761,0,0,BJP
18,kota,gen,800051,520374,0,0,BJP
11,nagaur,gen,0,478791,660051,0,rashtriya_loktantrik_party
19,pali,gen,900149,418552,0,0,BJP
8,rajsamand,gen,863039,311123,0,0,BJP
25,sikar,gen,772104,474948,0,0,BJP
24,tonk-sawai_mad,gen,644319,533028,0,0,BJP
2,udaipur,st,871548,433634,0,0,BJP
