Index,Constituency_Name,Seat_Type,BJP,INC,DMK,Viduthalai_Chiruthaigal_Katchi,CPM,CPI,Indian_Union_Muslim_League,AIADMK,Pattali_Makkal_Katchi,Makkal_Needhi_Maiam,Desiya_Murpokku_DK,Tamil_Maanila_Congress_(M),Independent,Strong_Party
1,arakkonam,gen,0,0,672190,0,0,0,0,0,343234,0,0,0,0,DMK
2,arani,gen,0,617760,0,0,0,0,0,386954,0,0,0,0,0,INC
3,chennai_central,gen,0,0,448911,0,0,0,0,0,147391,92249,0,0,0,DMK
4,chennai_north,gen,0,0,590986,0,0,0,0,0,0,103167,129468,0,0,DMK
5,chennai_south,gen,0,0,564872,0,0,0,0,302649,0,135465,0,0,0,DMK
6,chidambaram,sc,0,0,0,500229,0,0,0,497010,0,0,0,0,0,viduthalai_chiruthaigal_katchi
7,coimbatore,gen,392007,0,0,0,571150,0,0,0,0,145104,0,0,0,cpi_(marxist)
8,cuddalore,gen,0,0,522160,0,0,0,0,0,378177,0,0,0,0,DMK
9,dharmapuri,gen,0,0,574988,0,0,0,0,0,504235,0,0,0,0,DMK
10,dindigul,gen,0,0,746523,0,0,0,0,0,207551,0,0,0,0,DMK
11,erode,gen,0,0,563591,0,0,0,0,352973,0,0,0,0,0,DMK
12,kallakurichi,gen,0,0,721713,0,0,0,0,0,0,0,321794,0,0,DMK
13,kancheepuram,sc,0,0,684004,0,0,0,0,397372,0,0,0,0,0,DMK
14,kanniyakumari,gen,367302,627235,0,0,0,0,0,0,0,0,0,0,0,INC
15,karur,gen,0,695697,0,0,0,0,0,275151,0,0,0,0,0,INC
16,krishnagiri,gen,0,611298,0,0,0,0,0,454533,0,0,0,0,0,INC
17,madurai,gen,0,0,0,0,447075,0,0,307680,0,0,0,0,0,cpi_(marxist)
18,mayiladuthurai,gen,0,0,599292,0,0,0,0,337978,0,0,0,0,0,DMK
19,nagapattinam,sc,0,0,0,0,0,522892,0,311539,0,0,0,0,0,communist_party_of_india
20,namakkal,gen,0,0,626293,0,0,0,0,361142,0,0,0,0,0,DMK
21,nilgiris,sc,0,0,547832,0,0,0,0,342009,0,0,0,0,0,DMK
22,perambalur,gen,0,0,683697,0,0,0,0,280179,0,0,0,0,0,DMK
23,pollachi,gen,0,0,554230,0,0,0,0,378347,0,0,0,0,0,DMK
24,ramanathapuram,gen,342821,0,0,0,0,0,469943,0,0,0,0,0,141806,indian_union_muslim_league
25,salem,gen,0,0,606302,0,0,0,0,459376,0,0,0,0,0,DMK
26,sivaganga,gen,233860,566104,0,0,0,0,0,0,0,0,0,0,122534,INC
27,sriperumbudur,gen,0,0,793281,0,0,0,0,0,285326,0,0,0,0,DMK
28,tenkasi,sc,0,0,476156,0,0,0,0,355870,0,0,0,0,0,DMK
29,thanjavur,gen,0,0,588978,0,0,0,0,0,0,0,0,220849,0,DMK
30,theni,gen,0,428120,0,0,0,0,0,504813,0,0,0,0,144050,AIADMK
31,thiruvallur,sc,0,767292,0,0,0,0,0,410337,0,0,0,0,0,INC
32,thoothukkudi,gen,215934,0,563143,0,0,0,0,0,0,0,0,0,0,DMK
33,tiruchirappalli,gen,0,621285,0,0,0,0,0,0,0,0,161999,0,0,INC
34,tirunelveli,gen,0,0,522623,0,0,0,0,337166,0,0,0,0,0,DMK
35,tiruppur,gen,0,0,0,0,0,508725,0,415357,0,0,0,0,0,communist_party_of_india
36,tiruvannamalai,gen,0,0,666272,0,0,0,0,362085,0,0,0,0,0,DMK
,vellore,,,,485340,,,,,477199,,,,,,
37,viluppuram,sc,0,0,559585,0,0,0,0,0,431517,0,0,0,0,DMK
38,virudhunagar,gen,0,470883,0,0,0,0,0,0,0,0,316329,0,0,INC
