index,Constituency_Name,Seat_Type,BJP,BSP,SP,INC,RLD,Strong_Party
18,agra,sc,646875,435329,0,0,0,BJP
44,akbarpur,gen,581282,306140,0,108341,0,BJP
15,aligarha,gen,656215,426954,0,0,0,BJP
55,ambedkar nagara,gen,468238,564118,0,0,0,BJP
37,amethi,gen,468514,0,0,413394,0,0
9,amroha,gen,537834,601082,0,0,0,BSP
24,aonla,gen,537675,0,423932,0,0,BJP
69,azamgarha,gen,361704,621578,0,0,0,SP
23,badaun,gen,511352,0,492898,0,0,0
11,baghpat,gen,525789,0,0,0,502287,BJP
56,bahraicha,sc,525982,0,397230,0,0,BJP
72,ballia,gen,469114,0,453595,0,0,0
48,bandaa,gen,477926,0,418988,75438,0,0
67,bansgaon,sc,546673,393205,0,0,0,BJP
53,barabankia,sc,535594,0,425624,159575,0,0
25,bareillya,gen,565270,0,397988,0,0,BJP
61,bastia,gen,471163,440808,0,86920,0,0
78,bhadohia,gen,510029,466414,0,0,0,0
4,bijnor,gen,486362,556556,0,25833,0,BSP
14,bulandshahra,sc,681321,391264,0,0,0,BJP
76,chandaulia,gen,510733,0,496774,0,0,0
66,deoriaa,gen,580644,330713,0,0,0,BJP
29,dhaurahra,gen,512905,352294,0,162856,0,0
60,domariyaganja,gen,492253,386932,0,0,0,0
22,etaha,gen,545348,0,422678,0,0,BJP
41,etawah,sc,522119,0,457682,16570,0,BJP
54,faizabada,gen,529021,0,463544,0,0,0
40,farrukhabada,gen,569880,348178,0,0,0,BJP
49,fatehpur,gen,566040,367835,0,66077,0,BJP
19,fatehpur sikria,gen,667147,168043,0,172082,0,BJP
20,firozabad,gen,495819,0,467038,0,0,0
13,gautam buddha nagara,gen,830812,493890,0,0,0,BJP
12,ghaziabad,gen,944503,0,443003,111944,0,BJP
75,ghazipur,gen,446690,566082,0,0,0,BSP
70,ghosia,gen,451261,573829,0,0,0,BSP
59,gondaa,gen,508190,0,341830,0,0,BJP
64,gorakhpur,gen,717122,0,415458,0,0,BJP
47,hamirpur,gen,575122,326470,0,114534,0,BJP
31,hardoia,sc,568143,0,435669,0,0,BJP
16,hathrasa,sc,684299,0,424091,0,0,BJP
45,jalauna,sc,581763,423386,0,89606,0,BJP
73,jaunpur,gen,440192,521128,0,0,0,BSP
46,jhansi,gen,809272,0,443589,86139,0,BJP
2,kairana,gen,566961,0,474801,69355,0,BJP
57,kaiserganja,gen,581358,319757,0,0,0,BJP
42,kannauj,gen,563087,0,550734,0,0,0
43,kanpur,gen,563087,0,550734,0,0,0
50,kaushambia,sc,383009,0,344287,0,0,0
28,kheria,gen,609589,0,390782,0,0,BJP
65,kushinagar,gen,597039,0,259479,146151,0,BJP
68,lalganj,sc,357223,218820,0,0,0,BSP
35,lucknowa,gen,633026,285724,0,180011,0,BJP
74,machhlishahr,sc,488397,488216,0,0,0,0
63,maharajganj,gen,726349,385925,0,0,0,BJP
21,mainpuria,gen,430537,0,524926,0,0,SP
17,mathura,gen,371293,0,0,0,177822,BJP
10,meeruta,gen,586184,581455,0,0,0,0
79,mirzapur,gen,591564,0,359556,0,0,BJP
32,misrikha,sc,534429,433757,0,0,0,BJP
34,mohanlalganj,sc,629999,539795,0,0,0,0
6,moradabad,gen,551416,0,649538,59198,0,SP
3,muzaffarnagara,gen,573780,0,0,0,567254,0
5,nagina,sc,401546,568378,0,20046,0,BSP
51,phulpura,gen,544701,0,372733,32761,0,BJP
26,pilibhit,gen,704549,0,448922,0,0,BJP
39,pratapgarh,gen,436291,318539,0,0,0,0
52,prayagraja,gen,494454,0,310179,0,0,0
36,raebareli,gen,367740,0,0,534918,0,INC
7,rampura,gen,449180,0,559177,35009,0,SP
80,robertsganja,sc,447914,0,393578,0,0,0
1,saharanpur,gen,491722,514139,0,207068,0,0
71,salempur,gen,467940,355325,0,0,0,BJP
8,sambhal,gen,483180,0,658006,0,0,SP
62,sant kabir nagar,gen,467543,431794,0,128506,0,0
27,shahjahanpur,sc,688990,420572,0,0,0,BJP
58,shravastia,gen,436451,441771,0,58042,0,0
30,sitapura,gen,514528,413695,0,96018,0,0
38,sultanpur,gen,459196,444670,0,0,0,0
33,unnao,gen,703507,0,302551,185634,0,BJP
77,varanasi,gen,674664,0,195159,152248,0,BJP
